bill_updage_count,paid_flg,payway,region,selling_method,arrears_count,identified_doc,entry_age,contract_type,id,domain,campaign,pref,amount,arrears_at,customer_rank,career,sex,age
,,4,K,#,,1,50,1,263068783,500,9,**,,,,#,2,15
,,1,T,0,,1,21,1,958303221,99,L,13,,,,#,1,26
,,2,H,1,,1,24,1,203077774,0,L,4,,,,#,2,40
,,3,T,1,,1,36,1,328386805,0,L,10,,,,#,1,43
0,0,4,S,1,0,1,49,1,259985749,0,a,38,1,99,30,#,2,49
1,0,4,T,1,0,1,46,1,984157606,0,L,**,8848,99,90,12,2,47
,,2,T,#,,1,62,1,981629648,10,#,13,,,,#,1,63
0,0,2,T,1,0,8,48,1,326146695,0,L,13,324,99,100,#,1,59
,,4,T,1,,1,49,1,983451548,0,L,**,,,,12,2,45
,,2,T,1,,1,46,1,327554559,0,9,**,,,,#,1,29
,,4,T,1,,1,55,1,242650949,500,L,**,,,,#,2,57
,,4,R,1,,1,37,1,955058403,0,L,**,,,,12,2,42
,,4,C,1,,1,37,1,507027152,0,L,14,,,,#,2,51
0,0,2,Q,1,0,99,45,1,903815704,0,a,40,500,99,100,#,1,62
0,0,4,T,1,0,1,34,1,972087962,0,L,23,324,99,100,11,2,40
,,4,T,1,,1,27,1,975374485,0,L,**,,,,#,2,29
,,2,D,1,,1,53,1,948784861,0,L,**,,,,11,2,59
,,2,K,1,,1,27,1,959616144,0,L,**,,,,11,1,31
,,2,H,1,,1,49,1,990132921,500,L,4,,,,#,2,51
,,4,D,1,,1,28,1,260550175,500,L,1,,,,#,2,28
,,4,T,1,,1,42,1,264986032,0,L,25,,,,12,2,18
0,0,4,T,1,0,1,54,1,258208918,0,a,11,594,99,30,12,1,55
,,4,T,1,,99,63,1,305658125,0,a,13,,,,#,1,77
0,0,2,T,1,0,99,37,1,307221995,0,L,14,7080,99,70,11,1,47
,,90,T,#,,99,999,2,255204980,2300,9,13,,,,11,#,0
,,4,T,1,,1,52,1,249994485,0,a,13,,,,#,2,17
0,1,2,T,1,3,6,45,1,990644885,0,L,28,324,10,100,12,2,46
,,90,T,51,,16,999,2,986750977,0,#,13,,,,16,#,0
,,4,C,1,,1,38,1,245634393,0,L,23,,,,11,2,39
0,,4,Q,1,0,1,17,1,903505306,0,L,47,,99,100,#,2,32
,,4,T,1,,1,51,1,257068678,500,L,**,,,,#,1,51
,,2,C,1,,26,23,1,268390011,0,a,23,,,,#,1,23
,,2,N,1,,99,32,1,800035012,0,a,34,,,,#,1,55
,,4,N,1,,99,43,1,240346963,0,L,35,,,,#,2,13
,,2,T,1,,1,49,1,961691616,100,L,13,,,,12,2,23
,0,2,K,1,,17,15,1,606002991,0,L,28,600,,,#,1,27
,,2,Q,#,,20,36,1,977504986,10,#,40,,,,#,1,38
,,3,R,1,,1,34,1,961374863,0,L,**,,,,#,1,37
,,1,C,0,,1,999,2,979646666,0,#,23,,,,11,#,0
0,0,2,N,0,5,99,34,1,803178509,0,L,34,139,5,0,#,2,50
,,4,T,1,,1,66,1,271232461,500,R,**,,,,#,1,66
,,2,T,0,,1,65,1,326626186,0,0,**,,,,#,1,75
,,2,T,51,,3,999,2,990597433,0,#,13,,,,#,#,0
,,4,K,1,,8,40,1,986913001,0,L,28,,,,11,1,42
,,90,Q,#,,2,999,2,974755895,320,#,13,,,,#,#,0
,,4,T,#,,1,24,1,979136618,10,#,**,,,,#,2,26
1,0,2,C,1,0,1,43,1,968982908,0,L,22,540,99,50,#,2,47
,,2,T,1,,1,70,1,271190548,500,L,11,,,,#,1,70
,,2,T,1,,1,36,1,305453223,0,a,8,,,,#,1,51
,,2,T,1,,1,18,1,946914111,0,L,**,,,,12,1,22
,,4,T,1,,1,56,1,985919773,0,L,13,,,,12,2,57
,,4,C,1,,1,54,1,251124720,0,L,**,,,,11,1,55
,,2,K,1,,1,32,1,966369700,0,L,25,,,,11,1,36
0,0,2,T,1,0,8,23,1,952217104,0,L,12,194,99,100,11,2,29
,,2,C,1,,1,36,1,942137047,0,L,23,,,,#,1,43
,,90,T,#,,99,999,2,263174511,2300,9,4,,,,11,#,0
0,0,2,D,1,0,1,36,1,967349179,0,L,1,324,99,90,12,1,39
,,1,T,1,,1,32,1,251026259,99,#,13,,,,#,#,0
,,2,T,1,,8,12,1,242770521,0,L,15,,,,#,1,14
,,2,K,1,,1,39,1,947312895,0,L,26,,,,#,1,17
,,2,T,1,,1,48,1,961948721,0,M,**,,,,#,2,50
,,4,C,#,,1,30,1,241914754,500,#,22,,,,#,1,4
,,4,T,1,,1,71,1,318166714,0,0,14,,,,12,#,0
,,2,T,1,,1,20,1,985776136,0,L,14,,,,#,2,21
,,4,T,1,,20,20,1,306444297,0,L,13,,,,#,1,31
,,4,T,1,,99,49,1,948069144,0,L,13,,,,#,1,53
,,2,T,0,,3,999,2,978214533,0,#,21,,,,#,#,0
,,2,T,#,,1,35,1,978556940,10,#,**,,,,#,1,37
,,2,H,1,,1,33,1,200179704,0,L,2,,,,#,1,52
,,2,Q,1,,1,58,1,906423466,0,L,43,,,,#,1,68
,,2,D,1,,1,48,1,978695453,0,L,1,,,,#,1,15
,,4,K,1,,17,18,1,972030146,0,L,**,,,,12,1,20
,,4,T,1,,1,999,2,515780143,0,0,19,,,,#,#,0
,,4,K,1,,1,64,1,258996529,0,a,26,,,,12,1,64
0,0,4,T,1,0,1,57,1,983930454,500,L,**,324,99,100,12,1,58
,,4,T,1,,10,81,1,978329503,0,R,14,,,,#,2,83
,,2,C,1,,1,38,1,508404858,0,R,24,,,,#,1,49
1,0,2,T,1,0,1,47,1,958407377,0,L,13,4356,99,50,11,1,51
,,4,T,1,,1,28,1,303406232,0,L,13,,,,#,2,47
,,4,T,#,,1,42,1,975389590,10,#,13,,,,#,1,44
,0,4,Q,1,,1,50,1,259370970,0,a,**,960,,,#,1,50
,,2,T,1,,1,48,1,955438610,0,L,**,,,,#,2,52
,,4,C,#,,1,52,1,270895387,0,9,**,,,,12,2,24
,,4,T,1,,1,22,1,997167979,0,L,**,,,,12,1,22
,,2,T,1,,1,38,1,979500438,0,M,13,,,,#,2,40
,,4,T,51,,3,999,2,954058663,0,#,32,,,,#,#,0
,,4,H,1,,1,48,1,969027313,0,a,**,,,,11,2,54
,,4,T,1,,1,30,1,960833121,0,M,**,,,,#,1,32
,,4,K,1,,6,34,1,978641868,0,M,28,,,,#,2,36
1,0,3,K,1,0,17,18,1,979496344,0,L,28,1007,99,60,11,1,20
,,4,K,1,,1,40,1,983008875,0,L,**,,,,#,2,12
1,1,2,Q,1,8,1,29,1,997489170,0,L,**,1690,3,2,#,2,11
,,2,K,1,,1,43,1,973292962,0,M,27,,,,#,2,45
,,2,T,1,,1,999,2,992189825,0,L,30,,,,12,#,0
,,4,D,1,,1,55,1,990071880,500,L,1,,,,12,1,56
,,2,S,1,,1,23,1,403418208,0,L,37,,,,#,1,36
,,4,K,1,,1,42,1,991468189,0,L,29,,,,#,2,16
,,4,K,1,,1,31,1,988201378,0,L,27,,,,11,1,32
,,1,T,0,,1,59,1,205301661,0,#,**,,,,#,#,0
,,2,R,1,,1,32,1,958940771,0,L,**,,,,11,2,36
,,2,T,1,,1,39,1,318870038,0,0,11,,,,#,1,9
1,0,2,T,1,2,1,19,1,248179216,0,a,34,1598,8,20,#,2,21
,,4,T,1,,1,49,1,972245004,0,L,8,,,,11,2,53
0,1,2,D,1,3,1,20,1,985981503,0,L,**,100,10,0,12,1,22
,,2,T,1,,3,999,2,949806253,0,L,29,,,,11,#,0
,,4,T,1,,1,45,1,324801345,0,L,12,,,,#,1,60
,,4,T,1,,1,31,1,315497742,0,L,13,,,,#,2,47
,0,4,T,1,,1,47,1,241008789,0,L,13,37240,,,16,2,18
,,4,T,1,,1,47,1,988335242,500,L,**,,,,12,2,48
,,4,C,0,,1,62,1,516492335,0,L,23,,,,11,2,70
,,4,T,1,,99,22,1,314383881,0,L,13,,,,#,2,39
,,4,T,1,,1,44,1,971202336,0,L,**,,,,12,1,18
0,0,4,T,1,0,1,24,1,313191874,0,L,23,432,99,100,#,2,43
,,4,R,61,,1,57,1,986156126,0,P,16,,,,#,2,59
,,4,T,1,,1,27,1,248422350,0,a,27,,,,#,1,29
,,1,T,1,,99,31,1,250362560,99,#,13,,,,#,1,32
,,2,Q,1,,99,55,1,983164217,0,L,43,,,,#,2,57
,,3,K,1,,1,24,1,603570551,0,L,27,,,,#,1,42
,,2,Q,1,,1,17,1,840213577,0,a,46,,,,#,1,17
,,4,K,#,,1,40,1,266868386,500,9,28,,,,#,1,40
,,4,T,1,,1,26,1,257121536,0,a,**,,,,11,2,27
,,4,T,1,,1,50,1,317921959,0,L,**,,,,12,1,59
,,4,T,1,,1,35,1,942076179,0,L,13,,,,12,2,41
,,2,Q,1,,1,44,1,976763143,0,L,**,,,,#,1,46
,,2,S,1,,1,43,1,840299982,0,a,38,,,,#,1,12
0,,2,C,1,0,99,45,1,507651939,0,L,23,,99,80,#,2,57
0,0,2,T,1,0,17,15,1,971142333,0,L,19,225,99,20,#,1,18
,,4,K,0,,1,53,1,607039199,0,0,**,,,,#,1,61
,,1,T,#,,3,999,2,254886562,0,9,13,,,,#,#,0
,,4,T,1,,1,28,1,262716777,0,a,11,,,,12,1,29
,,2,T,51,,3,999,2,988410971,0,9,13,,,,#,#,0
,,2,T,1,,99,999,2,307204883,0,L,13,,,,#,#,0
1,1,2,T,1,3,1,50,1,995978569,500,L,13,2149,3,0,#,1,52
,,4,D,1,,1,46,1,961368822,0,M,**,,,,#,1,48
,,4,T,1,,8,34,1,258913127,0,a,14,,,,11,1,35
,,4,K,#,,1,41,1,996757631,500,#,**,,,,11,1,41
,,4,C,1,,1,50,1,262354220,0,a,23,,,,#,1,12
,,4,Q,#,,1,48,1,246982261,500,9,46,,,,#,2,49
,,4,C,1,,1,55,1,988559716,0,L,**,,,,12,1,56
,,2,H,1,,1,72,1,246240686,0,L,**,,,,12,2,73
0,1,3,C,1,3,1,24,1,513905987,0,L,23,130,10,0,#,1,39
,,4,H,1,,1,19,1,204217067,0,a,**,,,,#,2,33
1,0,4,C,1,0,1,14,1,509148199,0,a,23,624,99,110,#,2,25
,,4,H,1,,1,30,1,200680940,0,L,5,,,,#,1,48
1,0,4,N,1,0,1,15,1,945597613,0,a,13,324,99,90,#,1,24
,,2,T,1,,1,28,1,975408917,0,L,14,,,,#,1,31
,,4,T,#,,6,35,1,963620839,0,#,13,,,,#,2,37
,,2,K,1,,8,48,1,992064700,0,L,26,,,,#,2,14
,,4,N,1,,1,51,1,962178343,0,M,**,,,,#,1,53
0,0,2,S,1,0,1,35,1,945695247,0,L,37,120,99,100,12,2,41
,,4,Q,1,,1,75,1,258363700,500,L,**,,,,11,1,75
,,4,C,#,,1,62,1,970085941,10,#,23,,,,#,1,65
,,2,Q,0,,1,31,1,907353850,0,#,40,,,,#,1,38
,,4,T,#,,1,59,1,967672062,10,#,**,,,,#,1,62
,,2,T,1,,17,23,1,988040138,0,L,11,,,,#,2,23
,,4,K,1,,1,32,1,604060348,0,#,25,,,,#,#,0
0,0,4,T,1,0,1,22,1,323412450,0,L,13,2489,99,100,#,2,40
,,4,K,1,,1,26,1,605968612,0,0,27,,,,#,2,36
,,4,N,#,,1,36,1,986118884,10,#,40,,,,#,2,38
,,4,S,1,,1,50,1,262056434,0,a,**,,,,#,1,19
,,4,D,1,,1,63,1,988329765,0,R,**,,,,11,2,64
,,3,R,1,,1,38,1,941196258,0,L,**,,,,#,1,45
0,0,2,N,1,0,17,16,1,948162130,0,L,34,1188,99,100,12,1,25
,0,2,C,1,,1,18,1,247737887,0,L,**,250,,,11,2,20
,,4,T,1,,20,43,1,318717365,0,L,12,,,,11,2,50
0,0,4,Q,1,0,1,42,1,250982347,0,L,44,1,99,20,12,2,17
,,1,T,1,,1,999,2,982858602,0,L,23,,,,#,#,0
1,0,4,Q,#,0,1,42,1,241811216,500,#,**,2548,99,20,#,2,12
,,4,C,1,,1,39,1,959944096,0,L,**,,,,15,1,43
,,2,T,1,,1,42,1,313069171,0,L,10,,,,#,2,61
,,4,C,1,,1,46,1,952019851,0,L,22,,,,#,2,51
,,4,C,1,,1,54,1,958421579,0,L,23,,,,#,2,59
,0,4,Q,1,,1,39,1,251837890,0,L,47,130,,,12,1,41
1,0,4,Q,1,0,1,27,1,901089765,0,L,27,4780,99,110,#,2,46
,,2,T,1,,1,33,1,306154966,0,L,13,,,,#,2,45
,,4,T,1,,1,32,1,967389384,0,L,28,,,,#,2,34
,,1,T,51,,3,999,2,982501303,0,#,13,,,,#,#,0
,,2,H,1,,1,30,1,249384777,0,L,5,,,,11,1,32
,,3,R,1,,1,62,1,703581602,0,0,35,,,,#,2,72
,,2,T,#,,1,21,1,275369993,11,#,**,,,,#,#,0
,,4,N,1,,1,35,1,986791281,500,L,34,,,,12,2,36
,,2,T,1,,1,51,1,994476648,0,R,11,,,,#,1,53
,,4,T,1,,1,41,1,241190758,0,L,14,,,,12,1,12
,,2,Q,1,,1,28,1,986991771,0,L,**,,,,12,1,29
,,1,T,1,,3,999,2,240476234,0,M,40,,,,#,#,0
,,2,T,1,,17,24,1,309505898,0,L,27,,,,#,2,32
,,4,H,1,,1,75,1,260718491,0,R,**,,,,#,2,73
,,4,T,1,,27,26,1,254329827,0,L,**,,,,#,1,26
,,4,T,0,,1,31,1,249411886,500,9,11,,,,11,1,32
,0,4,C,1,,1,29,1,246937781,0,a,23,130,,,12,1,29
,,2,K,1,,8,68,1,986110380,0,L,25,,,,11,2,69
,,4,T,1,,10,17,1,977659774,0,L,13,,,,12,1,19
,,2,T,#,,8,23,1,975132314,10,#,14,,,,#,1,25
,,4,C,#,,1,55,1,978637418,10,#,24,,,,#,2,58
1,0,2,D,1,0,17,20,1,953337572,0,L,14,2056,99,50,12,2,25
,,2,T,1,,1,21,1,948849926,0,L,13,,,,#,1,26
,,2,T,1,,99,27,1,966842512,0,M,28,,,,#,2,29
,,2,H,1,,1,30,1,204002730,0,L,4,,,,#,1,42
1,0,2,H,1,0,1,52,1,979011598,0,L,**,721,99,60,12,2,55
,,2,C,1,,1,30,1,979799357,0,L,**,,,,#,1,33
1,0,2,T,1,0,1,23,1,317522119,0,L,11,594,99,60,#,1,37
,,4,K,1,,1,43,1,968089735,0,L,**,,,,12,2,16
1,0,2,N,1,0,1,24,1,804304408,0,L,34,3390,99,60,#,1,35
,,4,T,1,,99,18,1,313644666,0,L,13,,,,#,2,37
,,4,C,1,,99,45,1,962485317,100,L,21,,,,#,2,47
,,4,R,1,,1,34,1,700259376,0,L,16,,,,#,1,53
,,2,Q,1,,1,42,1,245164737,0,L,40,,,,11,2,42
,,4,K,1,,8,51,1,241211037,0,L,27,,,,11,1,53
0,0,4,S,#,0,1,29,1,248471787,500,#,38,8600,99,60,#,1,29
,,2,H,1,,1,40,1,966974163,0,M,2,,,,#,1,44
,,4,T,1,,1,67,1,990057991,500,L,14,,,,#,2,69
,,2,K,1,,1,26,1,970048201,0,M,27,,,,#,1,28
,,4,T,1,,1,999,2,251126903,0,L,13,,,,#,#,0
,,4,N,1,,99,50,1,801000577,0,0,32,,,,#,1,67
,,4,H,1,,1,59,1,204039436,0,L,4,,,,#,2,72
,,4,K,1,,1,48,1,242722600,500,L,28,,,,#,1,49
,,2,T,1,,1,46,1,327867106,0,L,12,,,,#,1,23
0,0,4,Q,1,0,1,16,1,905828922,0,L,**,6300,99,100,#,1,28
1,0,4,T,1,0,1,33,1,323921553,0,L,13,1800,99,90,#,2,48
,,4,Q,1,,99,41,1,904407706,0,0,44,,,,#,2,55
,,2,H,1,,1,38,1,203133092,0,L,7,,,,#,1,54
0,0,2,T,1,0,1,42,1,965849300,0,L,**,47740,99,50,#,1,47
,,3,T,#,,27,24,1,242193739,500,9,11,,,,#,1,26
,,4,K,0,,1,31,1,950628589,0,#,27,,,,#,2,35
,,2,T,1,,1,47,1,990823119,500,L,13,,,,16,1,48
,,4,C,1,,1,37,1,967475015,0,L,21,,,,#,1,41
1,0,4,N,1,0,1,46,1,986503021,0,L,33,700,99,100,11,1,48
,,4,C,1,,6,65,1,961878160,0,L,23,,,,#,2,69
,,2,Q,1,,1,22,1,963870335,0,L,**,,,,11,2,25
,0,4,C,1,,1,23,1,955016295,0,L,12,400,,,11,1,28
,,1,T,0,,6,37,1,509311264,0,9,**,,,,#,#,0
,,4,D,1,,1,38,1,952459692,0,M,14,,,,#,2,42
,,4,C,1,,1,26,1,515543485,0,L,24,,,,#,2,36
,,4,K,1,,1,45,1,956111990,0,L,**,,,,11,2,49
,,4,T,#,,6,25,1,974741816,10,#,13,,,,#,2,27
,,4,T,1,,1,50,1,968833333,0,L,**,,,,12,1,52
,,4,H,1,,1,53,1,956279839,0,L,7,,,,#,1,59
,,2,C,1,,1,47,1,504780149,0,R,21,,,,#,2,64
,,4,N,1,,1,47,1,263022619,0,a,33,,,,11,1,47
1,0,4,K,1,0,1,50,1,991470873,0,L,**,960,99,90,12,2,51
,,4,T,1,,1,43,1,969810148,0,L,27,,,,11,1,45
,,4,K,1,,1,18,1,604241868,0,L,13,,,,#,1,35
,,2,T,0,,16,999,2,607377406,0,#,14,,,,#,#,0
,,1,T,#,,3,999,2,994275928,0,#,3,,,,#,#,0
,,2,T,1,,20,51,1,309707434,0,L,11,,,,#,1,17
,,4,T,#,,1,28,1,968441661,0,#,13,,,,#,2,30
,,2,T,0,,27,21,1,317605069,0,L,13,,,,#,1,32
,,3,H,1,,1,35,1,966548395,0,M,4,,,,#,2,40
,,2,K,#,,1,24,1,969513493,0,#,27,,,,#,1,27
,,3,H,1,,11,15,1,201229691,0,L,9,,,,#,1,32
,,2,N,#,,1,40,1,963818728,0,#,35,,,,#,1,43
0,0,4,T,1,0,10,25,1,969704560,0,a,**,130,99,110,12,2,31
,,2,T,#,,1,25,1,973858730,0,#,13,,,,#,1,28
,,2,Q,#,,1,27,1,966491784,10,#,47,,,,#,2,29
,,4,T,#,,17,27,1,253656750,0,9,23,,,,#,#,0
,,2,T,1,,99,36,1,970874686,0,M,47,,,,#,2,39
,,2,C,1,,1,23,1,508321040,0,0,23,,,,#,1,33
,,90,T,1,,1,999,2,241064009,0,L,12,,,,#,#,0
,,3,S,1,,1,60,1,966055147,0,L,**,,,,#,1,61
,,4,T,1,,1,46,1,960402439,0,L,**,,,,#,2,50
1,0,4,K,1,0,1,26,1,252565043,500,L,**,1674,99,90,#,2,26
0,0,2,T,1,0,99,999,2,515852335,0,L,22,324,99,100,#,#,0
,,2,D,1,,1,42,1,262355717,0,a,1,,,,#,1,15
,,3,T,#,,17,20,1,964424760,0,#,**,,,,#,2,22
,,2,C,1,,1,26,1,942574187,0,L,**,,,,11,1,33
,,4,C,1,,99,50,1,260831762,0,a,23,,,,#,1,50
,,3,K,#,,17,30,1,965341547,0,#,28,,,,#,2,32
,,4,T,1,,1,32,1,982195790,0,R,12,,,,11,1,33
,,2,S,#,,1,52,1,966750855,10,#,38,,,,#,1,54
,,2,K,#,,1,58,1,959101265,0,#,27,,,,#,2,62
,,2,T,1,,8,68,1,995740923,500,L,13,,,,#,2,68
,,4,Q,1,,1,34,1,988859677,0,L,47,,,,11,2,35
,,2,T,1,,1,39,1,946184011,0,L,14,,,,#,2,70
1,0,2,C,1,0,1,15,1,516416796,0,L,**,14076,99,50,#,2,23
1,0,4,T,1,0,1,49,1,956121089,0,L,13,324,99,90,#,2,56
,,4,H,1,,1,20,1,204857122,0,L,6,,,,11,2,30
,,4,R,1,,1,38,1,991814211,0,L,16,,,,12,1,12
,,2,D,1,,1,26,1,104226160,0,L,1,,,,12,1,32
,,2,K,1,,1,999,2,955360567,0,L,27,,,,#,#,0
0,0,4,C,1,0,6,21,1,985069670,0,a,23,2817,99,90,11,2,25
,,2,T,1,,1,38,1,971725276,0,M,8,,,,#,2,40
0,0,2,C,1,0,1,55,1,981250467,0,L,**,324,99,100,#,2,57
,,3,T,1,,1,52,1,996035143,0,L,14,,,,#,2,52
,,4,T,1,,1,49,1,983511372,0,L,27,,,,12,1,21
,,4,T,1,,1,47,1,906465543,0,0,40,,,,11,#,0
,,2,D,1,,1,53,1,103238625,0,L,1,,,,#,1,68
0,0,4,N,1,0,99,25,1,803284786,0,L,40,324,99,100,#,2,40
,,4,C,1,,1,28,1,260205837,0,a,23,,,,12,2,28
,,2,T,#,,6,48,1,959711081,0,L,14,,,,#,2,51
,,4,T,1,,1,30,1,980238873,0,L,39,,,,12,1,32
,,2,T,1,,1,36,1,315174996,0,L,13,,,,#,1,52
,,2,T,1,,1,44,1,988938088,0,L,11,,,,11,1,46
,,4,C,#,,1,24,1,969804323,0,#,23,,,,#,2,26
,,2,K,1,,99,35,1,984030781,0,L,14,,,,#,2,37
,,4,T,1,,1,42,1,991448058,0,L,**,,,,#,2,44
,,4,K,1,,1,63,1,267725149,500,L,**,,,,12,2,64
,,2,C,1,,1,62,1,506950983,0,R,22,,,,#,1,76
,,2,K,1,,1,59,1,242718763,0,L,**,,,,11,2,59
,,2,C,1,,1,26,1,507887530,0,L,24,,,,#,1,38
0,0,2,C,1,2,8,16,1,960945906,0,L,23,324,11,100,#,2,21
1,0,4,S,1,0,1,32,1,248997299,0,a,28,1512,99,80,#,2,32
,,2,T,1,,1,25,1,303026459,0,L,10,,,,#,1,44
,,4,T,1,,1,39,1,306974630,0,L,12,,,,12,2,49
1,0,3,T,1,0,17,15,1,966159425,0,L,9,448,99,70,12,2,18
,,2,K,#,,1,40,1,261053412,500,9,**,,,,#,2,40
0,0,3,C,1,0,1,54,1,975032154,0,L,23,120,99,50,12,2,57
,,2,C,0,,1,38,1,507345654,0,0,23,,,,#,2,51
,,2,T,1,,1,21,1,981321550,0,M,**,,,,#,1,23
,,2,Q,1,,1,19,1,985595114,0,L,43,,,,11,1,20
,,4,T,1,,99,28,1,974281121,0,L,47,,,,#,1,31
,,2,T,#,,3,999,2,963117301,0,#,13,,,,#,#,0
,,2,Q,1,,1,999,2,969284524,0,R,45,,,,#,#,0
,,2,T,1,,16,999,2,979759336,0,L,13,,,,#,#,0
,,2,T,51,,3,999,2,251044466,0,9,13,,,,#,#,0
,,2,T,1,,1,26,1,990068766,500,L,13,,,,#,1,27
1,0,4,Q,1,0,1,27,1,906400040,0,L,47,200,99,60,#,2,37
,,4,C,1,,1,34,1,508768053,0,L,23,,,,#,1,43
1,0,2,T,1,0,10,32,1,954167986,0,L,13,42901,99,80,11,2,38
,,2,T,1,,1,999,2,951192563,0,L,40,,,,#,#,0
