age,customer_rank,arrears_count,sex,region,contract_type,selling_method,campaign,arrears_at,identified_doc,career,entry_age,amount,domain,pref,id,payway,paid_flg,bill_updage_count
37,100,0,1,K,1,1,L,99,1,#,31,756,0,**,940235154,2,0,0
40,80,0,2,K,1,1,a,99,1,12,30,1360,0,**,607168344,3,0,0
39,100,0,2,T,1,1,L,99,1,12,39,500,0,13,998073969,4,0,1
10,2,0,2,K,1,1,L,99,1,#,39,240,500,**,242578240,4,0,0
42,60,0,2,N,1,1,L,99,1,12,39,541,0,26,963498673,2,0,1
14,20,0,1,C,1,1,a,99,1,#,46,360,0,23,255211498,2,0,0
37,3,3,2,C,1,1,a,10,99,#,21,2600,0,23,514817476,2,1,0
40,100,0,1,C,1,1,L,99,10,12,38,1,0,23,982079919,4,0,1
30,70,0,2,T,1,1,L,99,1,11,27,130,0,13,980271018,4,0,0
61,50,0,1,T,1,1,L,99,1,#,41,700,0,13,314091368,2,0,1
23,100,0,1,K,1,1,L,99,1,#,14,2900,0,28,606760104,4,0,0
59,100,0,1,H,1,1,L,99,1,#,15,324,0,**,204218232,4,0,0
51,1,7,2,K,1,1,L,3,8,#,45,324,0,**,615503334,2,1,0
43,100,0,1,Q,1,1,L,99,99,#,25,10300,0,44,900808087,2,0,0
32,80,0,1,K,1,1,L,99,1,12,24,10466,0,27,607324757,3,0,1
25,80,0,2,Q,1,1,L,99,20,#,16,960,0,40,906762183,4,0,0
25,110,0,1,S,1,1,L,99,1,#,14,1230,0,**,403738136,4,0,0
43,50,0,1,T,1,1,L,99,1,#,43,790,0,**,240932760,2,0,1
21,90,0,1,K,1,#,9,99,1,12,20,260,500,**,245011137,4,0,0
42,90,0,2,T,1,1,L,99,1,#,40,820,500,20,994026517,4,0,0
55,80,0,2,N,1,1,L,99,1,11,55,69,500,**,252539951,4,0,1
22,5,4,2,K,1,0,L,4,27,#,20,960,0,27,983174040,3,0,1
26,3,0,1,T,1,1,L,99,1,11,24,0,0,**,990240652,4,1,1
64,50,0,2,C,1,1,R,99,1,#,62,360,0,23,991295757,2,0,0
57,100,0,1,H,1,1,L,99,1,#,39,324,0,3,200803264,4,0,0
66,50,0,2,T,1,1,L,99,1,11,65,540,500,**,991681848,4,0,1
36,110,0,2,C,1,1,L,99,1,#,18,226,0,13,503938025,4,0,1
37,70,0,2,K,1,1,a,99,1,12,36,500,0,**,248636700,4,0,0
15,20,0,2,T,1,1,L,99,26,#,15,1,0,9,250031759,4,0,0
42,110,0,1,K,1,1,L,99,1,12,41,22251,500,**,986328927,4,0,1
54,50,0,1,T,1,1,L,99,1,#,52,700,0,14,250260431,2,0,1
33,100,0,1,K,1,1,a,99,1,11,24,324,0,**,944973394,2,0,0
45,10,1,2,H,1,1,L,6,1,#,36,730,0,4,204938286,2,1,1
26,110,0,1,T,1,1,L,99,1,11,20,2149,0,12,946771639,4,0,1
46,170,0,1,C,1,1,L,99,1,#,24,2700,0,23,500266435,4,0,1
39,20,3,2,D,1,1,L,5,99,#,26,21,0,1,103860024,2,0,1
29,100,0,1,Q,1,1,L,99,1,12,20,324,0,**,946034233,4,0,0
39,50,1,2,S,1,1,L,7,1,#,23,10980,0,37,403085861,2,0,1
43,110,0,2,T,1,1,L,99,1,#,23,324,0,14,310202705,4,0,0
45,80,0,1,Q,1,1,L,99,1,#,28,960,0,40,904251574,4,0,0
53,90,0,1,C,1,1,L,99,1,#,44,10420,0,23,508952271,4,0,0
26,100,0,2,C,1,1,L,99,17,#,17,324,0,24,944694770,4,0,0
53,90,0,2,K,1,1,L,99,1,11,51,120,0,**,990775884,4,0,1
40,0,4,1,T,1,1,L,3,1,#,31,600,0,**,945245967,4,0,1
37,100,0,2,C,1,1,L,99,1,12,36,2000,0,**,991060382,4,0,1
47,3,3,2,K,1,1,a,10,99,#,31,610,0,27,614057101,2,1,0
43,100,0,1,H,1,1,a,99,1,#,24,324,0,4,201181589,2,0,0
37,100,0,2,T,1,1,L,99,8,#,27,540,0,27,940786183,2,0,0
53,30,0,1,T,1,1,a,99,1,11,52,594,0,**,258366031,4,0,1
53,80,0,1,H,1,1,a,99,1,#,35,2998,0,4,203210783,2,0,1
17,20,0,1,T,1,1,L,99,1,#,47,1,0,20,982501894,2,0,0
66,50,0,2,C,1,1,L,99,1,#,49,120,0,24,505140827,4,0,0
19,10,1,1,T,1,1,L,4,1,12,51,3878,0,**,240471487,2,0,1
33,100,0,2,S,1,1,L,99,1,#,16,324,0,47,403008771,4,0,1
60,100,0,1,T,1,1,a,99,99,#,45,5900,0,11,316892413,4,0,0
46,100,0,2,K,1,1,L,99,1,#,38,305,0,27,606772195,4,0,0
28,90,0,2,T,1,1,a,99,1,11,24,199,0,14,984620357,4,0,1
46,100,0,2,C,1,1,a,99,99,#,37,120,0,37,508873221,4,0,0
47,70,0,1,T,1,1,L,99,1,#,29,1,0,8,303634993,2,0,0
40,90,0,2,K,1,1,L,99,1,#,22,240,0,30,603634457,3,0,0
68,50,0,2,Q,1,1,L,99,1,#,63,2450,0,**,949147098,2,0,1
27,100,0,2,N,1,1,L,99,1,#,21,7,0,33,949447059,4,0,1
47,50,0,1,T,1,1,L,99,1,#,46,660,500,8,993148410,2,0,1
58,100,0,1,K,1,1,L,99,1,#,19,540,0,**,605975189,2,0,0
15,20,0,2,K,1,0,#,99,1,#,43,1,500,27,250031116,2,0,0
45,150,0,1,T,1,1,L,99,1,11,34,30000,0,13,317741799,2,0,1
36,100,0,1,K,1,1,L,99,1,#,16,626,0,12,604177014,4,0,0
54,60,0,2,T,1,1,L,99,20,12,46,1080,0,13,318408593,2,0,0
39,100,0,2,T,1,1,L,99,1,#,28,2200,0,11,307531712,4,0,1
54,100,0,1,N,1,1,a,99,1,#,32,324,0,**,800414623,4,0,0
44,90,0,1,K,1,1,L,99,1,12,44,1080,500,**,994853036,4,0,1
44,110,0,2,K,1,1,L,99,1,12,42,432,500,**,989315987,4,0,1
51,100,0,2,N,1,1,a,99,99,#,30,324,0,33,800806801,2,0,0
28,100,0,2,D,1,1,L,99,1,12,20,324,0,**,953894121,4,0,0
36,100,3,2,T,1,1,L,10,26,12,28,324,0,22,308367743,2,1,0
65,100,0,1,C,1,1,L,99,1,#,22,302,0,22,515413412,4,0,0
18,20,0,1,H,1,1,L,99,1,11,52,2149,500,5,240669397,4,0,0
16,20,0,2,T,1,1,L,99,1,#,54,1620,0,**,251630988,4,0,1
35,50,0,2,C,1,1,L,99,1,11,34,960,0,23,241966826,3,0,0
24,0,4,2,S,1,1,L,3,1,#,46,7440,0,**,940059693,2,1,0
44,100,0,1,R,1,1,L,99,1,12,43,324,0,18,981350309,4,0,0
50,60,0,1,Q,1,1,a,99,1,11,48,850,0,40,248646711,4,0,1
19,100,0,2,C,1,1,L,99,1,11,15,324,0,24,963061636,2,0,0
28,60,0,2,Q,1,1,a,99,1,12,21,6110,0,**,965643190,2,0,1
72,50,0,1,T,1,#,#,99,1,#,72,315,0,**,240842384,4,0,0
34,80,0,1,T,1,#,#,99,1,11,33,99,500,8,240298816,4,0,0
44,60,0,2,T,1,1,a,99,1,#,24,3726,0,11,303957304,2,0,1
39,100,1,1,Q,1,1,L,8,1,12,35,324,0,**,968915923,1,0,0
51,5,0,2,T,1,1,R,99,8,#,51,1,500,13,257559954,4,0,0
31,10,0,2,C,1,1,L,99,1,#,18,324,0,23,507814431,2,0,0
22,50,0,1,K,1,1,L,99,17,#,18,5358,0,27,963606612,2,0,1
19,100,0,1,C,1,1,L,99,1,12,39,324,0,23,971047307,2,0,0
53,100,0,2,T,1,1,L,99,1,#,50,350,500,14,977202454,4,0,0
55,70,0,1,T,1,1,L,99,1,11,42,130,0,**,307130593,2,0,0
33,90,0,2,K,1,1,L,99,1,11,32,540,0,**,242966403,4,0,1
40,100,0,1,T,1,1,L,99,1,#,22,5800,0,14,314395477,4,0,0
75,50,0,2,N,1,1,L,99,1,#,70,2331,500,**,985155772,2,0,0
74,50,0,2,Q,1,1,L,99,1,11,69,378,0,**,980763555,3,0,1
21,50,0,1,T,1,1,L,99,1,11,20,140,0,**,243529700,2,0,1
55,50,0,1,K,1,1,L,99,1,11,55,2000,500,27,997212107,2,0,1
52,110,0,2,K,1,1,L,99,1,12,46,120,0,**,965639883,4,0,0
65,100,0,1,T,1,1,a,99,1,#,55,2149,0,14,328516468,2,0,0
51,100,0,2,N,1,1,L,99,1,12,48,2000,0,35,965836160,4,0,1
12,20,0,1,K,1,1,L,99,1,#,43,840,500,**,242767704,4,0,0
39,10,3,1,C,1,1,L,10,8,#,34,5460,0,23,949037451,2,0,0
31,100,0,2,Q,1,1,L,99,1,#,19,540,0,27,905546162,4,0,0
34,100,0,2,T,1,1,L,99,1,12,28,16374,0,**,955512311,2,0,0
66,3,5,2,Q,1,1,a,8,1,#,58,360,0,40,943225493,3,1,0
32,50,0,2,K,1,1,L,99,8,11,24,11700,0,27,955255130,2,0,1
27,60,0,2,T,1,1,L,99,1,11,20,610,0,8,947828015,4,0,0
47,3,0,2,T,1,1,L,99,1,12,46,1660,0,**,243404444,3,0,0
42,70,0,1,T,1,1,L,99,1,#,23,500,0,13,303665013,2,0,1
45,40,0,2,Q,1,#,#,99,1,#,45,1,500,**,249124959,4,0,0
43,50,0,2,K,1,1,L,99,1,12,43,1680,0,**,250917685,2,0,0
33,100,0,2,T,1,1,L,99,1,#,26,1180,0,14,941734046,4,0,0
20,80,0,2,K,1,1,L,99,1,12,48,1554,0,**,607288231,2,0,1
37,0,1,1,C,1,1,L,3,1,11,34,3607,0,22,988762112,2,0,1
42,60,0,1,T,1,1,L,99,1,11,38,972,0,14,964873076,2,0,1
42,20,2,1,H,1,1,L,5,1,11,34,384,0,**,952592533,2,0,0
55,70,0,1,T,1,1,L,99,1,11,46,720,0,13,318068753,2,0,0
34,20,0,2,T,1,1,L,99,1,11,31,480,0,10,969416721,2,0,0
49,100,0,2,K,1,1,L,99,1,#,34,1,0,27,613759352,4,0,1
46,5,9,1,Q,1,1,L,3,1,12,39,2160,0,47,907595054,2,0,0
51,3,9,1,K,1,1,L,3,1,#,31,240,0,25,601170055,2,0,1
49,100,0,2,C,1,1,L,99,1,12,43,113,0,**,942300234,4,0,0
52,50,0,1,T,1,1,L,99,1,11,50,1023,500,11,246805303,2,0,1
64,100,3,2,T,1,1,a,3,20,#,53,648,0,14,308078061,2,0,0
57,60,0,2,H,1,1,L,99,1,#,44,250,0,3,204007609,2,0,0
42,80,0,1,T,1,1,L,99,1,#,26,1236,0,11,323457865,2,0,1
29,100,0,1,R,1,1,a,99,1,#,21,324,0,18,945548104,2,0,0
30,100,0,2,R,1,1,L,99,1,#,27,108,0,17,996856434,2,0,0
34,100,0,1,T,1,1,L,99,1,#,33,324,0,8,993013742,2,0,0
47,50,0,1,T,1,1,L,99,6,#,40,1007,0,13,958061915,2,0,1
22,10,7,2,T,1,1,a,5,1,12,20,970,0,47,246208570,2,1,1
36,5,0,1,H,1,#,9,99,1,#,36,1161,0,7,258326869,2,0,0
36,110,0,1,T,1,1,a,99,1,11,28,540,0,14,943821211,4,0,1
46,50,0,2,C,1,1,L,99,1,12,46,2678,0,21,997536069,1,0,1
19,30,0,2,K,1,0,#,99,27,#,18,14575,0,40,991270871,3,0,1
48,10,1,2,C,1,1,L,3,1,#,34,1730,0,23,507281729,2,0,1
19,100,0,2,C,1,1,L,99,1,#,43,324,0,23,943967619,2,0,0
25,100,1,1,Q,1,1,L,12,17,12,18,597,0,46,942885836,2,0,0
16,0,8,2,K,1,1,L,3,8,#,16,1830,500,27,240138271,2,0,0
24,100,0,2,T,1,1,a,99,17,12,19,324,0,27,979346044,4,0,0
48,5,0,1,Q,1,1,L,99,1,#,48,1,500,46,254781222,4,0,0
30,30,1,1,C,1,1,L,10,1,#,26,540,0,**,960460104,2,0,1
67,5,0,1,C,1,1,a,99,1,#,63,2724,0,21,256931391,2,0,0
46,130,0,2,T,1,1,L,99,99,#,30,3450,0,13,315158293,4,0,0
12,20,0,2,T,1,0,#,99,1,#,55,1,500,12,250661706,4,0,0
29,100,0,2,T,1,#,#,99,6,#,27,390,500,13,988898679,4,0,0
65,30,0,2,T,1,1,a,99,1,12,65,1,0,12,255574378,2,0,0
47,100,0,2,H,1,1,L,99,1,#,37,3176,0,5,204262772,4,0,1
24,90,0,2,T,1,1,L,99,1,12,20,2220,0,11,965894263,4,0,0
22,100,0,1,R,1,1,L,99,1,#,20,610,0,17,982353581,4,0,1
63,50,0,1,K,1,1,L,99,1,#,58,500,0,**,953930475,4,0,1
55,10,2,2,C,1,1,L,3,1,11,47,240,0,23,942626048,3,1,0
35,10,3,1,T,1,1,L,3,99,11,24,4800,0,13,317818516,2,0,0
50,60,0,2,T,1,1,L,99,1,#,44,500,0,**,952429479,2,0,1
22,100,0,2,K,1,1,L,99,1,11,40,324,0,28,615666318,4,0,0
36,80,0,2,T,1,1,L,99,1,#,33,574,0,11,996601096,4,0,0
33,70,0,2,T,1,1,L,99,1,12,33,2000,0,26,240248896,4,0,0
37,100,0,1,K,1,1,L,99,1,#,19,100,0,26,603716490,4,0,0
31,90,0,1,T,1,1,a,99,1,#,22,10597,0,**,943579847,4,0,1
15,20,0,2,C,1,1,L,99,1,#,43,540,500,**,251050407,4,0,1
29,10,6,1,K,1,1,L,3,1,11,25,3600,0,27,959649290,2,0,0
36,0,5,2,T,1,1,L,8,8,#,33,3000,0,11,978264017,2,1,0
45,10,2,2,T,1,1,L,6,1,11,40,1,0,**,961757756,2,0,1
63,100,0,2,T,1,1,a,99,1,11,59,324,0,40,961045986,4,0,0
19,110,0,2,T,1,1,L,99,1,12,41,2014,0,13,963305581,4,0,1
57,90,0,2,T,1,1,L,99,1,11,57,1080,0,13,247551668,4,0,1
47,110,0,2,K,1,1,L,99,1,12,44,324,0,26,970503396,4,0,0
42,100,0,2,D,1,1,L,99,1,11,36,864,0,1,966931018,3,0,0
31,100,0,2,C,1,1,a,99,1,#,23,324,0,21,948017656,4,0,0
41,100,0,1,C,1,1,L,99,1,11,37,378,0,23,986679592,2,0,0
59,100,0,1,K,1,1,L,99,28,#,57,3180,0,27,245968402,2,0,0
55,90,0,2,K,1,1,L,99,1,11,53,120,500,**,997248146,4,0,0
48,100,0,2,T,1,1,L,99,1,11,46,1000,0,4,984359718,4,0,0
40,50,0,2,T,1,#,#,99,1,11,39,2800,500,**,246025583,3,0,0
22,70,0,1,K,1,1,a,99,1,12,17,6518,0,25,974617366,2,0,1
36,100,0,1,T,1,1,a,99,1,11,28,1000,0,14,947204323,4,0,0
35,40,2,1,C,1,1,L,11,1,#,22,600,0,23,514625154,2,1,0
15,0,3,1,C,1,1,L,3,8,#,15,2160,0,23,242998492,2,1,1
19,100,0,2,C,1,1,a,99,1,#,40,648,0,22,990108468,2,0,0
29,100,0,2,T,1,1,L,99,8,11,23,194,0,12,952217104,2,0,0
26,50,1,2,K,1,1,a,12,1,11,61,18392,0,**,953012623,2,1,1
26,50,0,1,T,1,1,L,99,1,#,15,2200,0,11,317377115,3,0,0
28,1,5,2,T,1,#,#,3,1,#,28,960,500,8,247906129,2,1,0
48,100,0,1,K,1,1,L,99,1,#,29,3483,0,25,603258388,4,0,1
35,50,0,1,T,1,1,L,99,1,16,34,600,500,13,984915256,3,0,0
21,90,0,1,T,1,1,L,99,1,12,20,40,0,14,987292881,4,0,1
37,30,2,2,C,1,1,L,11,8,#,21,2600,0,23,506127111,2,0,0
39,50,0,1,T,1,#,9,99,1,#,39,224,500,14,252541292,4,0,1
48,100,0,1,N,1,1,L,99,1,11,46,700,0,33,986503021,4,0,1
24,40,0,2,T,1,1,L,99,8,#,19,1000,0,13,956893537,2,0,0
24,100,7,1,Q,1,1,L,5,6,#,17,2160,0,**,960555029,3,1,0
36,70,0,1,T,1,1,L,99,1,11,25,2254,0,19,317811495,2,0,1
20,60,0,2,Q,1,1,L,99,1,#,44,1909,0,**,945565589,2,0,1
52,10,5,2,K,1,1,L,8,1,#,36,1400,0,27,605064753,2,0,0
46,100,0,2,T,1,1,L,99,1,11,41,648,0,**,961742565,4,0,0
61,100,0,2,K,1,1,L,99,8,#,44,1404,0,26,605133189,4,0,0
55,110,0,2,C,1,1,L,99,1,#,43,120,0,23,514995990,4,0,0
55,60,0,1,T,1,1,L,99,1,11,49,5900,0,14,968701149,2,0,1
40,100,0,1,H,1,1,L,99,1,#,28,626,0,28,204252972,4,0,0
21,70,0,2,Q,1,1,L,99,1,12,20,240,0,43,992058104,4,0,1
59,0,9,1,N,1,1,L,3,1,#,58,626,500,**,984625135,2,0,0
31,30,1,2,T,1,1,L,10,17,#,22,1300,0,14,943658834,2,0,1
28,10,5,2,H,1,1,a,4,8,12,24,3777,0,3,985253515,2,1,1
48,100,0,1,C,1,1,a,99,1,#,24,324,0,23,500127322,2,0,0
47,50,0,2,Q,1,1,a,99,1,#,42,2149,0,**,982373778,2,0,1
24,5,0,1,T,1,0,9,99,27,#,24,540,500,11,256223221,4,1,1
45,30,0,2,D,1,1,L,99,1,12,43,1,0,1,252009328,2,0,0
22,80,0,1,Q,1,1,L,99,1,12,52,594,0,40,989661257,4,0,1
47,50,0,2,T,1,1,L,99,6,11,46,120,500,13,242058855,2,0,0
43,30,0,1,T,1,1,L,99,1,11,22,56,0,13,256218300,4,0,0
48,120,0,2,R,1,1,L,99,1,12,44,8770,0,16,967831921,4,0,1
48,20,2,2,K,1,1,L,6,28,12,47,980,500,27,253309115,2,0,0
44,130,0,2,T,1,1,L,99,1,#,25,1500,0,13,313747448,4,0,0
25,100,0,1,Q,1,1,a,99,1,#,38,1058,0,41,906678361,4,0,1
31,5,0,1,T,1,#,#,99,1,#,31,2634,500,12,249946609,4,0,1
65,50,0,2,T,1,1,L,99,1,#,18,130,0,14,313331568,2,0,1
0,60,0,#,K,2,1,L,99,99,#,999,1440,0,27,955361282,2,0,1
44,90,0,1,T,1,1,L,99,1,12,41,300,500,15,986052334,4,0,0
30,70,0,1,Q,1,0,L,99,99,12,20,100,0,35,804448950,2,0,1
