region,id,campaign,contract_type,payway,paid_flg,arrears_at,pref,career,sex,arrears_count,domain,amount,age,selling_method,entry_age,customer_rank,identified_doc,bill_updage_count
T,943343993,a,1,2,1,10,14,12,1,3,0,2190,32,1,25,3,1,0
N,985155772,L,1,2,0,99,**,#,2,0,500,2331,75,1,70,50,1,0
T,241912847,L,1,2,0,4,13,11,2,1,0,980,20,1,20,0,1,0
T,966351579,L,1,4,0,99,**,12,2,0,0,120,53,1,49,100,1,0
C,983759644,a,1,4,0,99,22,12,2,0,0,280,67,1,62,100,1,0
T,252293859,a,1,4,0,99,**,12,1,0,0,950,13,1,44,100,1,0
S,400110548,L,1,2,0,99,38,#,2,0,0,990,44,1,24,100,99,1
T,255645739,a,1,4,0,99,**,12,2,0,0,540,44,1,44,30,1,1
T,325240245,L,1,4,0,99,27,#,2,0,0,302,43,1,29,100,10,0
C,516001750,a,1,90,0,99,22,#,1,0,0,770,33,1,21,100,99,0
C,943378375,L,1,2,0,99,**,#,2,0,0,1007,48,1,39,100,1,1
T,985963411,L,1,2,0,3,11,12,2,5,0,120,43,1,41,5,1,0
T,979402711,L,1,2,0,9,13,#,1,4,0,3173,21,1,19,10,6,1
K,613061638,L,1,2,0,99,28,#,2,0,0,1,62,1,45,50,1,0
T,967567334,a,1,4,0,99,13,#,1,0,0,700,8,1,38,2,1,1
R,703691734,L,1,2,0,99,17,#,2,0,0,1007,23,1,42,80,1,1
C,503333207,a,1,4,0,99,**,#,1,0,0,6610,45,1,24,100,1,0
T,989242361,L,1,4,0,99,**,#,2,0,500,324,22,1,21,100,1,0
K,954545050,L,1,4,1,99,40,11,1,0,0,17800,26,1,21,60,1,0
C,505425411,L,1,4,0,99,23,#,2,0,0,306,52,1,36,120,99,0
T,978401039,L,1,3,0,99,27,11,1,0,0,2689,24,1,21,50,1,1
C,248967918,L,1,2,0,99,22,16,1,0,500,120,41,1,41,50,1,0
T,325143992,L,1,2,0,99,**,#,1,0,0,9000,28,1,14,60,1,0
Q,972832048,#,2,90,0,99,13,#,#,0,320,324,0,#,999,100,2,0
,990505268,,,,0,,,,,,,720,,,,,,
C,509132810,L,1,2,1,3,24,11,1,8,0,648,25,1,17,100,17,0
H,985253515,a,1,2,1,4,3,12,2,5,0,3777,28,1,24,10,8,1
,942753077,,,,0,,,,,,,1200,,,,,,
T,962971008,L,1,3,0,99,12,11,2,0,0,4326,39,1,35,70,1,1
C,509300231,L,1,4,0,99,23,11,1,0,0,120,36,1,28,100,1,0
,971733359,,,,0,,,,,,,250,,,,,,
C,987209100,L,1,2,1,10,23,#,2,3,0,324,45,1,43,100,1,0
T,969704560,a,1,4,0,99,**,12,2,0,0,130,31,1,25,110,10,0
,985721724,,,,0,,,,,,,10190,,,,,,
,992200174,,,,0,,,,,,,1050,,,,,,
,958190413,,,,0,,,,,,,130,,,,,,
Q,249506055,L,1,2,0,4,46,11,1,6,0,4298,22,1,21,5,1,0
T,316419547,L,1,4,0,99,**,#,1,0,0,3564,63,1,15,50,1,0
,949522971,,,,0,,,,,,,130,,,,,,
T,995965656,a,1,2,0,99,13,12,1,0,0,480,56,1,53,50,1,0
T,942188162,a,1,2,0,3,13,12,1,6,0,130,32,1,22,10,1,1
Q,960745694,L,1,3,0,10,12,#,1,2,0,3530,27,1,22,20,1,0
T,966020425,L,1,2,0,99,**,12,2,0,0,324,15,1,47,20,1,0
,247737887,,,,0,,,,,,,250,,,,,,
Q,904004206,L,1,4,0,99,43,#,1,0,0,324,17,1,28,100,1,0
C,944465341,L,1,2,0,99,23,#,2,0,0,1007,28,1,21,70,10,1
T,950719066,L,1,2,0,99,12,#,2,0,0,3039,28,1,20,60,10,1
C,963356946,a,1,4,0,99,22,11,2,0,0,480,52,1,46,100,1,0
,241861985,,,,0,,,,,,,600,,,,,,
K,614260692,L,1,2,0,11,29,#,2,1,0,1620,36,1,23,50,1,1
T,257531344,a,1,4,0,99,**,#,2,0,0,600,38,1,37,100,6,0
K,241443518,#,1,4,0,99,**,#,2,0,500,324,17,#,51,100,1,0
,982081621,,,,0,,,,,,,530,,,,,,
,248624377,,,,0,,,,,,,1110,,,,,,
S,950422979,L,1,4,0,99,**,11,2,0,0,120,31,1,25,110,1,1
,993505796,,,,0,,,,,,,130,,,,,,
T,954405087,a,1,2,0,3,13,12,1,7,0,280,37,1,29,3,1,0
T,953605493,L,1,4,0,99,13,11,2,0,0,648,24,1,18,100,99,0
T,244877192,L,1,2,0,99,12,11,1,0,500,3540,33,1,33,50,1,1
Q,993550558,L,1,4,0,99,4,12,2,0,500,324,45,1,41,100,1,0
T,256151397,a,1,4,0,99,**,12,1,0,0,10770,20,1,43,30,1,0
,328545290,,,,0,,,,,,,240,,,,,,
,989031968,,,,0,,,,,,,1050,,,,,,
T,949509242,a,1,4,0,8,13,11,1,5,0,30360,23,1,15,50,17,0
C,516203549,L,1,3,0,99,23,#,2,0,0,130,18,1,43,60,6,0
T,249488824,L,1,4,0,99,34,#,1,0,500,1000,32,1,31,100,1,0
K,250023307,L,1,4,0,99,**,#,1,0,0,540,48,1,48,30,1,1
T,245939779,#,1,4,0,99,**,#,2,0,500,250,52,#,55,90,1,0
T,986770163,L,1,4,0,99,14,11,1,0,0,1058,49,1,48,100,1,1
,940188495,,,,0,,,,,,,1090,,,,,,
K,613623790,L,1,4,0,99,27,#,2,0,0,1920,45,1,30,110,99,0
T,952166018,a,1,2,0,6,**,11,2,2,0,14780,30,1,22,30,1,0
K,600582980,L,1,4,0,99,29,#,1,0,0,324,52,1,31,100,1,0
K,946209041,L,1,4,0,99,28,12,2,0,0,756,26,1,19,100,17,0
T,324688870,L,1,3,0,7,9,#,2,2,0,1007,37,1,22,30,1,1
T,315952921,L,1,2,0,99,14,#,1,0,0,1420,42,1,27,70,1,1
,508821259,,,,0,,,,,,,120,,,,,,
T,964896734,a,1,2,0,99,9,11,2,0,0,1188,20,1,37,100,1,0
D,944904862,L,1,3,1,3,1,#,1,5,0,324,49,1,43,100,1,0
K,247444320,L,1,2,0,99,**,11,1,0,0,4002,50,1,50,50,1,1
T,964113219,L,1,3,0,5,14,11,2,7,0,2280,22,1,18,3,1,1
S,982787500,L,1,4,0,99,**,12,2,0,0,540,28,1,25,100,1,0
,251270983,,,,0,,,,,,,-19690,,,,,,
,316281778,,,,0,,,,,,,130,,,,,,
T,253657067,9,1,4,0,99,13,12,2,0,500,780,44,#,43,90,1,1
T,300577911,L,1,4,0,99,14,#,1,0,0,648,53,1,32,100,1,0
Q,996753204,L,1,2,0,99,40,12,1,0,0,48367,20,1,55,50,1,1
C,508745354,L,1,2,0,99,23,#,1,0,0,300,22,1,50,60,1,1
,253229947,,,,0,,,,,,,4780,,,,,,
T,240298816,#,1,4,0,99,8,11,1,0,500,99,34,#,33,80,1,0
,961663399,,,,0,,,,,,,480,,,,,,
K,250891051,L,1,3,0,99,27,12,2,0,0,2678,23,1,21,100,1,0
T,942395005,L,1,4,0,99,20,#,2,0,0,324,37,1,30,100,1,0
K,613820467,0,1,2,0,99,**,#,2,0,0,1,33,1,55,80,1,0
T,306670345,L,1,4,0,99,13,12,1,0,0,2520,51,1,38,100,1,0
Q,906282498,L,1,2,0,99,40,#,1,0,0,960,68,1,56,50,1,1
C,515436328,L,1,2,0,99,23,#,#,0,0,240,0,1,25,20,1,0
,615373820,,,,1,,,,,,,980,,,,,,
T,995978569,L,1,2,1,3,13,#,1,3,500,2149,52,1,50,0,1,1
,253736848,,,,0,,,,,,,18650,,,,,,
C,514789191,L,1,2,1,3,22,#,1,6,0,9100,34,1,49,0,1,1
Q,244535746,L,1,4,0,99,41,11,1,0,0,3000,23,1,22,70,1,0
R,990371395,L,1,2,0,99,16,#,1,0,0,432,16,1,45,100,1,0
T,942931973,a,1,4,0,99,13,11,1,0,0,324,36,1,27,100,1,0
C,993709560,a,1,2,1,4,24,#,1,8,0,1940,23,1,20,3,1,1
T,257409587,L,1,2,0,99,12,#,2,0,500,2200,25,1,25,5,6,0
T,987465522,a,1,2,0,99,**,11,1,0,0,500,22,1,17,100,1,0
T,992624870,L,1,2,0,8,14,#,1,3,0,500,34,1,33,10,1,1
,242999113,,,,0,,,,,,,1460,,,,,,
S,403151646,L,1,2,0,99,37,#,1,0,0,864,58,1,41,70,99,0
T,971027892,L,1,4,0,99,12,12,2,0,0,340,20,1,17,100,17,0
T,301301562,L,1,4,0,99,13,#,1,0,0,120,54,1,34,150,99,1
T,243285928,L,1,3,1,4,**,12,2,7,0,1488,59,1,59,3,1,1
Q,944644284,L,1,4,0,99,**,#,2,0,0,6360,34,1,25,80,1,1
T,982156777,L,1,2,0,99,26,11,1,0,0,2604,67,1,64,50,1,0
Q,244188195,#,1,2,1,3,1,#,1,9,500,600,31,#,30,1,1,0
K,243022830,L,1,4,0,99,27,#,2,0,0,3000,13,1,37,20,1,0
T,944186399,L,2,2,0,99,37,11,#,0,0,240,0,1,999,60,1,0
,247126173,,,,0,,,,,,,4800,,,,,,
T,255682439,L,1,4,0,99,13,11,2,0,500,240,78,1,78,5,8,0
D,104392134,L,1,4,0,99,1,#,1,0,0,324,25,1,50,100,1,0
T,313426161,a,1,4,0,99,13,#,2,0,0,18357,38,1,17,120,1,1
T,240648284,L,1,2,0,99,14,12,1,0,500,1080,69,1,69,50,1,1
Q,955191447,L,1,4,0,99,40,11,1,0,0,4574,34,1,29,80,1,1
C,961345318,L,1,4,0,99,**,12,1,0,0,120,58,1,54,100,1,0
K,962369919,L,1,3,0,10,28,11,2,2,0,1007,21,1,46,40,1,1
Q,255674005,a,1,2,0,99,44,11,1,0,0,120,21,1,21,50,1,0
D,104065191,0,1,2,0,99,1,#,#,0,0,1,0,1,36,50,1,0
T,964040428,L,1,4,1,99,14,#,1,0,0,980,18,1,51,3,1,1
K,948926218,L,1,4,0,99,29,11,1,0,0,756,59,1,54,50,1,1
T,988615674,L,1,2,1,4,14,12,1,8,0,120,19,1,17,10,1,0
K,614421368,L,1,2,0,7,28,#,2,4,0,250,49,1,35,20,1,0
H,989798385,#,1,3,0,11,**,12,2,1,500,394,33,#,32,100,1,1
K,601032371,L,1,2,0,99,28,#,1,0,0,14240,46,0,27,60,1,0
T,987413293,L,1,2,0,3,**,11,1,1,0,1728,45,1,41,10,1,0
C,501036016,L,1,2,0,99,23,#,1,0,0,40000,41,1,21,80,1,1
K,942145985,L,1,2,0,99,30,11,1,0,0,1080,37,1,28,100,1,0
,309403859,,,,0,,,,,,,1220,,,,,,
T,951105834,L,1,2,0,99,12,11,2,0,0,540,30,1,22,80,1,1
C,250892128,L,1,4,0,99,21,#,1,0,0,1080,61,1,61,50,1,1
T,249484734,L,1,2,1,4,11,12,2,6,0,130,17,1,45,0,1,0
,615873597,,,,0,,,,,,,960,,,,,,
D,946153641,L,1,4,0,99,1,#,1,0,0,480,41,1,35,20,1,0
Q,943458072,L,1,4,0,99,47,#,2,0,0,240,31,1,25,90,1,1
S,252926617,L,1,4,0,99,**,#,1,0,500,625,12,1,37,20,1,1
K,240799092,L,1,2,0,3,27,#,1,5,500,1560,49,1,47,3,21,0
C,991124140,L,1,4,0,99,**,11,2,0,500,540,61,1,57,50,1,1
T,968124158,L,1,4,0,99,11,11,1,0,0,324,53,1,49,100,1,0
Q,900567564,L,1,2,0,99,40,#,1,0,0,1600,64,1,44,50,99,0
,310150502,,,,0,,,,,,,7200,,,,,,
K,964546439,L,1,4,0,99,**,11,1,0,0,410,37,1,33,100,1,0
H,994660649,L,1,4,0,99,**,#,1,0,500,780,37,1,36,80,1,0
,604723917,,,,0,,,,,,,360,,,,,,
K,988563714,a,1,4,0,99,**,11,1,0,0,2640,63,1,59,50,1,0
K,991365115,L,1,4,0,99,**,12,1,0,500,120,16,1,40,20,1,0
T,316090992,L,1,4,0,99,9,#,2,0,0,460,40,1,25,140,99,0
N,943555623,L,1,2,0,3,**,#,1,7,0,1007,44,1,35,10,1,1
T,989668752,L,1,2,0,4,11,12,2,9,500,324,28,1,26,100,8,0
S,960744595,L,1,4,0,99,37,#,2,0,0,90,34,1,28,90,1,0
K,945790887,L,1,4,0,99,**,11,2,0,0,120,47,1,41,110,1,1
T,248007701,a,1,4,0,99,11,12,1,0,0,2150,67,1,65,50,1,0
C,970734033,L,1,2,0,3,23,12,1,5,0,999,29,1,26,10,1,1
C,981539623,L,1,4,0,99,**,#,1,0,0,980,20,1,65,20,1,0
Q,257350324,L,1,2,0,99,43,12,2,0,0,930,29,1,27,30,1,1
C,503938025,L,1,4,0,99,13,#,2,0,0,226,36,1,18,110,1,1
Q,986179832,L,1,4,0,99,**,12,1,0,0,13000,36,1,34,90,1,0
C,962258170,L,1,2,0,4,22,#,1,9,0,2780,18,1,44,3,8,0
H,962642578,L,1,2,0,99,7,#,2,0,0,20400,38,1,34,70,1,0
T,944213900,L,1,2,1,10,**,#,1,3,0,570,43,1,34,0,1,0
T,246286351,L,1,4,0,99,**,#,2,0,0,3500,47,1,46,90,1,0
H,993748335,L,1,4,0,99,4,15,1,0,0,324,48,1,45,100,1,0
T,324926639,L,1,2,1,10,11,#,1,3,0,556,47,1,33,100,1,0
T,241267965,L,1,4,0,99,**,11,2,0,500,2392,44,1,44,90,1,0
K,615181762,L,1,4,0,99,29,11,2,0,0,15118,39,1,29,70,8,1
C,950945157,a,1,4,0,99,23,11,1,0,0,128,60,1,54,50,1,1
,104128023,,,,0,,,,,,,-49300,,,,,,
,248654473,,,,0,,,,,,,120,,,,,,
T,951584064,L,1,4,0,99,**,#,2,0,0,1007,32,1,26,100,1,1
T,243473896,L,1,4,0,99,**,#,2,0,500,1110,27,1,26,80,1,0
Q,968977418,L,1,4,0,99,**,11,2,0,0,864,53,1,49,100,1,0
K,960533297,L,1,4,0,99,28,#,1,0,0,8492,28,1,24,90,1,1
T,973814584,L,1,2,0,99,14,#,2,0,0,1007,21,1,15,70,17,0
,975015632,,,,0,,,,,,,960,,,,,,
C,986386223,L,1,4,0,99,**,12,2,0,0,6149,25,1,23,90,1,1
H,203942488,L,1,4,0,99,13,#,2,0,0,324,46,1,30,100,1,0
K,251350557,L,1,4,0,99,27,#,1,0,0,2930,37,1,37,50,1,1
N,800414623,a,1,4,0,99,**,#,1,0,0,324,54,1,32,100,1,0
C,949214702,L,1,2,0,99,21,11,2,0,0,259,29,1,22,70,17,1
K,980439081,L,1,4,0,99,26,12,2,0,500,648,40,1,34,100,1,0
Q,904814595,L,1,4,0,99,40,#,2,0,0,120,34,1,20,110,99,0
Q,965461092,a,1,4,0,99,35,11,1,0,0,324,31,1,25,100,1,0
T,254853647,a,1,4,0,99,13,12,1,0,0,1007,22,1,21,50,1,1
C,988475769,a,1,2,0,99,24,12,2,0,0,5516,22,1,19,70,1,0
T,997018089,a,1,3,0,99,11,#,1,0,0,2640,21,1,18,30,28,1
C,952904799,L,1,2,0,99,12,11,1,0,0,2300,28,1,22,60,1,1
T,970188107,L,1,4,0,99,**,11,1,0,0,12971,34,1,28,90,1,0
H,952781626,L,1,2,0,99,4,12,2,0,0,5069,20,1,46,110,99,1
,972684397,,,,0,,,,,,,500,,,,,,
K,615558888,L,1,3,1,3,27,#,2,8,0,529,14,1,24,0,1,1
T,993788578,L,1,2,0,99,**,12,2,0,500,500,33,1,30,70,1,0
,614120857,,,,0,,,,,,,120,,,,,,
T,965627956,L,1,2,0,99,8,#,1,0,0,700,33,1,27,50,6,1
S,964682569,L,1,4,0,99,37,11,2,0,0,800,34,1,30,130,1,1
T,986327196,L,1,2,0,99,13,#,1,0,0,240,31,1,29,30,6,0
T,993013742,L,1,2,0,99,8,#,1,0,0,324,34,1,33,100,1,0
K,243499819,L,1,4,0,99,28,11,2,0,0,1,68,1,68,50,1,0
T,300633512,L,1,4,0,99,**,#,1,0,0,3330,62,1,36,90,1,1
D,990136504,L,1,4,0,99,1,12,2,0,0,9132,40,1,39,80,1,1
,328574606,,,,0,,,,,,,240,,,,,,
K,242767704,L,1,4,0,99,**,#,1,0,500,840,12,1,43,20,1,0
T,983422447,a,1,4,0,99,11,12,2,0,0,1007,20,1,44,20,1,1
T,247960156,L,1,4,0,99,20,#,2,0,0,360,20,1,18,20,28,1
K,615754617,L,1,3,0,10,28,#,2,3,0,2964,26,1,16,3,11,1
T,250253801,L,1,2,0,99,**,#,1,0,500,1023,12,1,49,20,1,1
N,946819120,L,1,4,0,99,34,#,2,0,0,324,27,1,21,100,1,0
C,504534928,L,1,90,0,99,22,#,2,0,0,600,46,1,28,100,99,0
,987537137,,,,0,,,,,,,610,,,,,,
D,249260216,#,1,4,0,99,**,#,2,0,500,1,34,#,34,40,1,0
T,309821535,L,1,4,0,99,13,11,2,0,0,250,32,1,24,100,20,1
T,300635767,L,1,2,0,99,13,#,1,0,0,6000,47,1,25,100,1,0
K,251593957,#,1,2,0,8,**,11,2,1,500,756,40,0,40,30,1,1
H,205051130,0,1,2,1,99,15,#,1,0,0,1080,40,1,29,100,1,0
T,952625362,L,1,3,0,99,11,11,1,0,0,55,34,1,29,100,1,0
T,954746490,L,1,3,0,99,**,11,2,0,0,610,24,1,18,70,1,1
,901257696,,,,0,,,,,,,1240,,,,,,
T,253222898,L,1,3,0,4,12,#,2,1,500,604,43,1,43,5,1,0
T,998113826,L,1,4,0,99,24,11,2,0,0,1382,34,1,33,70,1,1
T,955593182,L,1,2,0,8,40,11,1,5,0,420,23,1,18,20,17,0
,251371882,,,,0,,,,,,,1000,,,,,,
T,318157550,9,1,2,0,3,13,11,1,9,0,2000,52,1,41,10,1,1
T,957851633,L,1,2,0,99,12,#,2,0,0,2160,40,1,34,70,1,0
C,957715323,a,1,4,0,99,**,11,1,0,0,8580,59,1,54,100,1,0
K,613971167,a,1,4,0,99,27,#,2,0,0,36257,32,1,15,40,8,1
Q,904528914,a,1,2,0,8,43,#,1,1,0,626,49,1,32,100,99,0
Q,947141326,L,1,2,0,99,**,#,1,0,0,141,46,1,37,70,1,0
T,300199215,L,1,2,0,99,14,#,1,0,0,1080,50,1,28,100,1,0
C,516044251,L,1,2,0,99,24,#,2,0,0,432,58,1,49,100,1,0
C,515683507,a,1,4,0,10,12,#,1,3,0,324,48,1,35,100,1,0
C,972984410,L,1,4,0,99,**,#,1,0,0,480,19,1,51,20,1,1
T,325446812,L,1,4,0,99,11,#,2,0,0,8162,48,1,35,100,1,0
T,246014306,9,1,4,0,99,**,11,2,0,500,1500,34,#,33,90,1,0
K,613445126,L,1,3,0,99,29,#,1,0,0,648,41,1,23,100,1,0
K,613110468,a,1,4,0,99,27,#,1,0,0,372,52,1,33,80,8,1
K,256192319,9,1,4,0,99,**,#,1,0,500,594,38,#,38,5,1,1
C,945329522,L,1,4,0,99,28,#,1,0,0,1007,25,1,18,90,1,1
Q,249124959,#,1,4,0,99,**,#,2,0,500,1,45,#,45,40,1,0
T,983930454,L,1,4,0,99,**,12,1,0,500,324,58,1,57,100,1,0
K,988109436,a,1,2,0,99,27,11,1,0,0,630,24,1,53,50,1,1
T,990566077,L,1,4,0,99,13,12,2,0,0,540,23,1,22,90,1,1
,950374651,,,,0,,,,,,,1950,,,,,,
,958786194,,,,0,,,,,,,4100,,,,,,
,252243618,,,,0,,,,,,,240,,,,,,
Q,962063047,L,1,2,0,99,43,#,1,0,0,2149,19,1,53,50,99,1
C,516435020,L,1,2,0,99,23,#,2,0,0,500,25,1,18,50,17,1
,988984693,,,,1,,,,,,,3800,,,,,,
T,325386775,L,1,2,0,99,**,#,1,0,0,324,49,1,35,100,99,0
T,326287926,L,1,4,0,99,11,#,2,0,0,380,35,1,21,100,1,1
T,240479920,L,1,2,0,99,**,12,1,0,0,1058,70,1,70,50,1,1
,247780086,,,,0,,,,,,,480,,,,,,
K,963140627,L,1,2,0,99,28,#,1,0,0,4163,20,1,40,50,1,1
T,246479165,L,1,2,0,99,14,#,2,0,500,598,21,1,21,50,1,1
C,515996656,L,1,2,0,99,23,#,1,0,0,226,34,1,24,100,1,1
H,960365284,L,1,2,0,8,**,#,2,1,0,6176,31,1,26,30,1,1
N,958561801,L,1,2,0,99,33,#,1,0,0,540,59,1,54,50,99,0
T,963502978,L,1,4,0,99,13,11,2,0,0,730,28,1,24,70,1,0
N,949815514,L,1,4,0,99,35,11,2,0,0,365,41,1,35,110,1,1
T,988941823,L,1,4,0,99,9,11,1,0,0,324,22,1,48,100,1,0
C,989390843,L,1,3,0,99,**,11,1,0,0,3589,24,1,23,50,1,1
T,961711448,L,1,4,0,99,13,11,1,0,0,1440,19,1,57,50,1,0
Q,905828922,L,1,4,0,99,**,#,1,0,0,6300,28,1,16,100,1,0
T,948967354,L,1,2,0,99,11,#,1,0,0,29180,28,1,23,70,1,0
T,316430670,L,1,2,0,99,13,#,1,0,0,4710,30,1,16,100,1,0
T,952359715,L,1,4,0,99,13,#,2,0,0,500,27,1,21,100,6,0
T,962709593,a,1,2,0,99,13,#,1,0,0,500,21,1,50,50,1,1
,244707618,,,,0,,,,,,,370,,,,,,
T,313975399,L,1,4,0,99,12,#,2,0,0,240,37,1,19,120,1,1
Q,989917185,L,1,4,0,99,42,#,2,0,0,130,16,1,46,20,1,0
K,995580693,L,1,4,0,99,**,11,1,0,0,78720,40,1,37,80,1,0
C,978683275,L,1,4,0,99,21,#,1,0,0,324,17,1,50,100,1,0
D,247569348,a,1,2,0,99,1,12,2,0,0,1552,29,1,27,50,1,1
T,315643116,L,1,2,0,99,14,#,1,0,0,120,66,1,49,50,99,0
Q,907190591,a,1,2,1,3,23,#,1,9,0,324,34,1,24,100,1,0
C,503952359,L,1,2,0,99,23,#,1,0,0,626,39,1,21,100,1,0
H,256263719,L,1,2,0,99,4,16,2,0,500,110,79,1,79,30,8,1
Q,904761844,a,1,4,0,99,44,#,2,0,0,120,50,1,35,110,99,0
,603619125,,,,0,,,,,,,120,,,,,,
T,970719186,L,1,4,0,99,13,11,2,0,0,1658,52,1,47,100,1,1
K,242112745,L,1,4,0,99,**,12,1,0,0,404,48,1,47,90,1,0
H,204763469,L,1,4,0,99,4,#,1,0,0,900,36,1,26,100,1,1
T,977502182,a,1,3,0,99,13,12,2,0,0,324,26,1,21,100,1,0
Q,253824936,L,1,2,0,99,47,16,1,0,0,110,9,1,45,2,1,0
T,246467287,#,1,1,0,99,27,#,1,0,500,324,21,#,21,5,27,1
T,303691552,L,1,2,0,99,14,#,2,0,0,13331,45,1,28,100,8,1
,985820340,,,,1,,,,,,,1920,,,,,,
C,515478811,a,1,2,0,99,4,#,2,0,0,13032,43,1,30,60,1,1
,965493753,,,,0,,,,,,,120,,,,,,
N,258766276,a,1,2,0,99,**,12,1,0,0,100,24,1,24,30,1,0
C,993755968,L,1,4,0,99,**,#,2,0,500,120,65,1,64,50,1,0
,990771666,,,,0,,,,,,,960,,,,,,
T,984628901,L,1,3,1,3,**,16,1,2,0,1530,30,1,25,10,1,0
,993348541,,,,0,,,,,,,1920,,,,,,
T,324877083,a,1,4,0,99,13,#,1,0,0,302,60,1,44,100,10,0
C,505230960,L,1,2,0,99,24,#,1,0,0,1590,56,1,37,70,1,1
H,971740165,L,1,2,1,6,6,11,1,7,0,324,21,1,18,3,17,1
C,961738254,L,1,4,0,99,**,11,1,0,0,480,19,1,41,100,1,1
H,959792126,L,1,4,0,99,**,#,1,0,0,560,27,1,22,60,1,1
,308572484,,,,0,,,,,,,1050,,,,,,
,257198374,,,,0,,,,,,,120,,,,,,
T,991086593,R,1,4,0,99,9,12,1,0,0,4000,56,1,55,90,1,0
T,324180016,L,1,2,0,6,13,#,1,7,0,823,42,1,27,3,1,1
T,242058855,L,1,2,0,99,13,11,2,0,500,120,47,1,46,50,6,0
T,327025743,a,1,2,0,3,**,#,2,1,0,5720,24,1,13,20,1,2
T,256222487,L,1,4,0,99,**,11,1,0,500,594,49,1,49,70,1,1
C,514995990,L,1,4,0,99,23,#,2,0,0,120,55,1,43,110,1,0
Q,250072043,#,1,4,0,99,45,12,1,0,500,1000,17,#,49,20,1,0
K,943247491,L,1,4,0,99,13,#,2,0,0,5400,28,1,20,80,10,1
K,603616783,L,1,4,0,99,30,#,1,0,0,20,19,1,33,120,1,0
R,971742892,L,1,4,0,99,16,11,2,0,0,324,22,1,17,100,17,0
Q,996575051,L,1,2,0,99,45,#,1,0,500,315,32,1,31,50,1,0
T,304092180,L,1,2,0,99,10,#,1,0,0,1145,47,1,31,80,1,1
C,504113082,L,1,4,0,99,23,#,1,0,0,540,44,1,26,100,99,0
T,959632247,L,1,4,0,99,13,12,2,0,0,3090,49,1,45,100,1,0
D,989126626,L,1,2,1,10,1,11,1,3,0,2140,20,1,81,3,1,0
