customer_rank,arrears_at,identified_doc,career,pref,sex,region,bill_updage_count,id,domain,campaign,contract_type,entry_age,age,payway,arrears_count,amount,paid_flg,selling_method
70,99,1,16,1,2,D,1,247793788,500,L,1,48,48,4,0,518,0,1
100,99,10,12,13,2,T,0,972389500,0,L,1,59,62,4,0,1404,0,1
60,99,1,11,14,1,T,0,987882199,500,L,1,28,29,2,0,3920,0,1
100,10,8,#,11,2,T,0,991904445,0,L,1,36,37,2,3,324,1,1
110,99,1,#,14,1,T,0,941135298,0,L,1,41,48,4,0,1080,0,1
100,99,17,#,13,2,T,0,318603396,0,L,1,15,22,4,0,8280,0,1
0,3,8,#,22,1,C,0,506631400,0,L,1,26,43,2,7,2400,1,1
50,99,8,#,27,1,K,1,601014593,0,a,1,29,52,4,0,4869,0,1
100,99,8,#,13,2,T,0,243549241,0,L,1,47,50,3,0,324,0,1
100,99,1,#,7,1,H,0,205001080,0,a,1,33,44,4,0,27096,0,1
3,10,1,#,1,2,D,2,944629171,0,L,1,17,23,3,3,1960,0,1
2,99,1,12,28,1,K,0,251328260,500,#,1,34,10,2,0,1,1,#
100,99,6,#,13,2,T,0,963036323,0,L,1,20,25,4,0,324,0,1
40,9,1,#,21,1,C,0,506852942,0,L,1,43,29,2,1,5400,0,1
100,99,1,#,**,1,T,0,243954088,500,#,1,34,34,4,0,3571,0,#
50,99,1,12,**,1,C,0,252053564,500,L,1,60,62,4,0,1940,0,1
110,99,10,12,40,2,Q,0,968108694,0,L,1,23,27,4,0,324,0,1
20,99,1,#,**,2,K,0,252668146,0,L,1,45,12,4,0,1,0,1
2,6,1,#,28,2,K,0,249273254,0,L,1,36,11,4,2,720,0,1
110,99,10,#,29,2,K,0,945265378,0,L,1,49,55,4,0,1836,0,1
90,99,1,#,**,2,T,1,950413205,0,L,1,23,29,4,0,110,0,1
60,99,1,#,23,1,H,1,201584603,0,a,1,18,36,2,0,5170,0,1
30,99,1,#,27,2,K,0,259786235,500,L,1,43,44,4,0,1,0,1
50,99,1,12,10,2,T,0,993695746,500,L,1,29,30,2,0,960,0,1
100,99,1,12,**,2,K,0,954015850,0,L,1,40,45,4,0,324,0,1
30,99,1,11,**,2,K,0,258576192,500,L,1,45,46,2,0,7220,0,1
70,99,1,11,3,1,H,2,944403138,0,a,1,23,32,4,0,1007,0,1
100,99,1,12,17,2,R,0,977408228,0,L,1,22,27,4,0,324,0,1
100,99,17,11,14,1,T,0,943945020,0,a,1,20,29,2,0,324,0,1
5,3,26,#,13,1,T,1,318497591,0,L,1,29,37,2,10,5000,1,1
60,99,1,11,12,2,T,0,981867824,0,L,1,47,21,3,0,864,0,1
100,99,1,11,14,1,T,0,947204323,0,a,1,28,36,4,0,1000,0,1
80,99,1,#,18,2,R,1,242219388,500,L,1,38,39,2,0,4240,0,1
50,99,10,#,13,1,T,2,251869650,0,a,1,52,24,4,0,700,0,1
100,99,1,12,11,1,T,1,942110225,0,a,1,23,3,4,0,278,0,1
100,99,8,#,27,1,K,1,993323764,0,L,1,17,18,3,0,540,0,1
90,99,1,12,28,2,K,0,251481912,500,L,1,33,33,4,0,720,0,1
50,99,1,#,24,2,C,0,969312114,0,R,1,64,67,2,0,360,0,1
50,99,1,#,**,2,T,0,325187527,0,L,1,47,61,4,0,480,0,1
60,99,1,12,**,1,N,1,956116210,0,L,1,22,26,2,0,540,0,1
80,99,1,11,12,1,T,0,246945597,0,L,1,30,32,4,0,11900,0,1
100,99,1,#,25,1,K,0,945518793,0,L,1,27,34,4,0,1080,0,1
10,4,1,#,11,2,T,0,327950615,0,L,1,21,29,2,6,480,1,1
70,99,1,11,**,1,T,1,340312856,0,a,1,25,35,2,0,240,0,1
30,99,1,12,**,2,K,0,259536989,500,9,1,70,70,4,0,1,0,0
50,99,1,#,**,1,T,0,242215965,0,R,1,22,24,2,0,720,0,1
100,99,17,#,28,2,K,1,606662640,0,a,1,22,34,4,0,324,0,1
3,10,6,#,16,2,R,1,956817300,0,L,1,49,21,2,3,2969,1,1
50,99,1,12,**,1,T,0,947769268,0,R,1,24,29,2,0,628,0,1
100,99,1,11,34,1,N,0,804311274,0,L,1,37,50,4,0,324,0,1
50,99,1,#,**,1,Q,0,255218033,0,a,1,66,66,4,0,480,0,1
20,99,1,#,**,2,Q,1,257254272,0,a,1,46,16,4,0,19800,0,1
0,3,1,11,13,2,T,0,949026069,0,L,1,17,23,2,7,130,1,1
60,99,1,#,**,1,K,1,954322269,0,L,1,29,34,3,0,324,0,1
50,99,1,11,40,2,Q,0,248878282,0,a,1,46,46,4,0,1,0,1
50,99,1,11,**,1,D,0,978661391,500,L,1,63,65,3,0,120,0,1
70,99,17,#,14,2,T,0,973814584,0,L,1,15,21,2,0,1007,0,1
50,99,1,12,21,2,C,0,246456576,0,L,1,48,24,2,0,960,1,1
100,99,1,11,40,1,Q,0,907596094,0,L,1,24,32,2,0,324,0,1
80,99,8,11,8,1,T,1,951935666,0,L,1,17,23,4,0,8100,0,1
100,99,1,11,35,1,Q,0,965461092,0,a,1,25,31,4,0,324,0,1
90,99,1,12,13,2,T,0,991700173,500,L,1,50,19,4,0,2800,0,1
100,11,1,11,**,2,C,0,960542342,0,L,1,42,46,2,2,2640,0,1
100,99,98,12,34,1,N,0,804295900,0,a,1,40,53,4,0,648,0,1
90,99,17,12,1,2,D,1,948450561,0,L,1,21,27,3,0,120,0,1
2,99,1,#,27,1,K,0,242249393,500,L,1,44,4,4,0,1460,0,1
100,99,8,12,22,1,T,0,946533619,0,L,1,22,28,3,0,540,0,1
20,9,1,12,**,1,T,0,516614775,0,L,1,36,44,2,4,1940,0,1
0,3,21,16,13,2,T,0,253576615,500,L,1,53,54,2,4,432,0,1
60,99,1,#,47,2,Q,1,906400040,0,L,1,27,37,4,0,200,0,1
50,99,1,#,**,2,T,0,244229997,500,L,1,61,61,4,0,100,0,1
100,99,1,#,34,2,N,0,801438630,0,L,1,26,43,4,0,324,0,1
80,99,1,11,**,1,Q,0,247958652,0,L,1,47,47,4,0,720,0,1
20,99,1,11,14,2,T,0,971747132,0,L,1,34,15,2,0,1223,0,1
90,99,1,#,**,1,T,0,340256836,0,L,1,11,19,4,0,15540,0,1
30,99,1,11,13,2,T,0,253519830,500,9,1,39,39,4,0,1,0,#
100,99,1,11,40,1,Q,0,942021904,0,L,1,36,45,4,0,324,0,1
100,99,1,#,4,2,H,1,203256204,0,L,1,27,43,4,0,2678,0,1
70,99,98,#,35,1,N,1,804524422,0,L,1,22,31,4,0,4191,0,1
60,99,1,#,17,1,R,0,703698501,0,L,1,50,59,2,0,120,0,1
100,99,1,11,**,2,T,1,941595606,0,L,1,20,27,4,0,10476,0,1
2,99,1,11,23,1,C,1,242184706,0,L,1,20,10,3,0,500,0,1
90,99,1,11,33,1,N,0,971608174,0,L,1,30,34,4,0,2020,0,1
60,99,1,16,13,2,T,1,252572526,500,9,1,54,54,2,0,17283,0,#
100,99,1,#,13,1,T,0,316702559,0,L,1,40,53,2,0,324,0,1
50,99,1,11,12,2,T,2,941953656,0,L,1,25,32,2,0,324,0,1
100,99,1,#,9,2,T,0,304125230,0,L,1,31,49,2,0,3000,0,1
50,99,1,11,**,1,N,1,252657971,0,L,1,68,70,4,0,298,0,1
100,99,1,12,15,1,T,0,993689539,500,L,1,45,19,2,0,540,0,1
3,6,1,#,47,1,Q,0,992201395,0,L,1,18,21,2,7,2640,1,1
10,3,1,#,11,1,T,0,971284372,0,a,1,49,55,4,8,1920,0,1
100,99,1,11,34,2,N,0,960714714,0,L,1,56,61,4,0,226,0,1
50,99,1,11,21,2,C,1,992677722,500,L,1,47,48,2,0,1967,0,1
40,99,8,11,11,2,T,1,246755687,0,a,1,35,37,2,0,4169,0,1
20,99,1,12,28,2,K,1,979838716,0,a,1,54,19,2,0,3229,0,1
0,99,1,#,12,2,T,0,942032207,0,L,1,47,54,2,0,2880,0,1
10,99,1,#,**,1,K,1,255661665,500,9,1,29,29,4,0,594,0,#
3,99,1,12,40,2,Q,0,985439943,0,a,1,24,28,2,0,960,0,1
110,99,1,12,**,2,Q,1,967675428,0,L,1,49,52,4,0,2287,0,1
50,9,1,11,**,1,T,0,940327091,0,L,1,30,37,2,4,1,0,1
50,99,1,#,23,2,C,1,507095719,0,L,1,19,32,2,0,87,0,1
100,99,1,#,23,1,C,0,507848282,0,L,1,21,34,2,0,540,0,1
100,99,99,12,13,2,T,0,985744205,0,a,1,20,24,4,0,480,0,1
20,99,1,#,**,1,C,0,242159771,500,L,1,40,12,4,0,8100,0,1
60,99,1,11,**,1,T,1,964616414,0,L,1,50,54,2,0,600,0,1
50,99,1,12,**,1,K,0,985933860,0,L,1,53,54,2,0,439,0,1
3,3,8,#,12,2,T,0,324409785,0,a,1,23,40,2,8,3000,1,1
40,99,12,#,28,1,K,0,991406729,500,L,1,58,59,3,0,120,0,1
130,99,1,#,34,2,N,1,801256311,0,L,1,32,49,4,0,500,0,1
70,99,1,11,43,2,T,1,959088292,0,L,1,41,45,2,0,1012,0,1
5,3,1,12,47,1,Q,0,907595054,0,L,1,39,46,2,9,2160,0,1
90,99,1,12,14,2,T,1,248762284,500,L,1,27,27,4,0,1080,0,1
120,99,99,#,23,2,C,0,505425411,0,L,1,36,52,4,0,306,0,1
10,5,1,11,23,1,H,0,952742587,0,a,1,22,29,2,7,1210,0,1
30,99,1,#,**,1,K,1,258903500,0,a,1,70,70,4,0,972,0,1
20,99,1,#,**,2,R,0,985011039,0,L,1,43,16,4,0,1580,0,1
90,99,17,12,13,2,T,0,318317408,0,L,1,32,41,4,0,864,0,1
3,10,1,#,23,1,C,1,942086619,0,a,1,34,43,3,3,1580,0,1
50,99,99,#,46,1,Q,0,901662153,0,L,1,49,60,2,0,360,0,1
50,99,8,11,11,2,T,1,245795386,500,L,1,78,79,3,0,540,0,1
100,99,1,11,13,1,T,1,958569088,0,L,1,42,46,4,0,1547,0,1
0,3,17,12,13,2,T,0,963050263,0,a,1,17,24,2,4,6000,0,1
80,99,1,#,**,2,Q,0,244179195,500,L,1,31,33,4,0,250,0,1
30,10,8,12,11,2,T,1,988581972,500,L,1,26,29,3,1,2580,0,1
10,4,12,12,13,2,T,1,981139430,0,L,1,28,30,3,5,2460,1,1
3,10,8,#,1,2,D,0,954233103,0,L,1,20,26,2,3,920,0,1
90,99,1,#,**,2,T,1,306067612,0,L,1,40,52,4,0,1000,0,1
50,99,1,#,2,1,H,1,959934313,0,L,1,15,19,2,0,972,0,1
110,99,1,11,14,1,T,0,940343093,0,L,1,22,29,4,0,1371,0,1
50,99,1,12,**,2,K,0,240683718,0,L,1,50,50,2,0,130,0,1
50,99,1,#,11,1,T,0,306298500,0,L,1,47,24,4,0,5086,0,1
100,99,1,#,27,1,K,0,615846754,0,L,1,40,25,3,0,864,0,1
10,4,12,#,27,2,K,1,987087250,0,L,1,70,42,2,3,130,0,1
70,99,1,#,**,1,K,1,256116192,0,L,1,57,57,4,0,700,0,1
0,7,1,#,29,2,K,1,977411264,0,a,1,36,41,2,4,2149,0,1
30,99,1,11,26,2,T,1,257132434,0,a,1,47,47,1,0,9412,0,1
0,3,5,11,27,1,T,0,997249431,0,a,1,29,32,2,5,4560,0,1
100,99,1,11,23,1,T,0,963442056,0,L,1,24,29,4,0,1188,0,1
100,99,1,#,14,2,T,0,315183723,0,L,1,41,60,4,0,505,0,1
70,99,1,11,**,2,T,1,946628430,0,L,1,24,30,2,0,120,0,1
80,99,99,#,23,2,T,0,300877617,0,L,1,23,43,2,0,480,0,1
130,99,10,12,13,2,T,1,944216552,0,a,1,23,32,4,0,250,0,1
70,99,1,11,11,2,T,1,326955733,0,L,1,29,39,2,0,1,0,1
80,99,1,11,27,1,K,1,615638472,0,a,1,38,50,2,0,4210,0,1
50,99,1,#,40,2,Q,2,986395451,0,L,1,37,41,2,0,1074,0,1
100,99,1,12,14,2,T,0,104282170,0,L,1,29,37,4,0,500,0,1
100,99,1,#,23,1,C,0,508851862,0,a,1,19,35,4,0,302,0,1
3,10,22,#,28,2,K,0,962307327,0,L,1,17,21,3,3,1210,1,1
30,99,1,12,27,1,K,0,257051873,0,a,1,42,42,2,0,960,0,1
100,99,1,#,30,2,K,0,952327158,0,L,1,26,31,3,0,324,0,1
100,3,1,#,22,1,T,0,313038170,0,L,1,22,44,2,5,1000,0,1
3,99,1,#,24,#,T,0,962336390,0,L,2,999,0,1,0,240,1,1
20,99,1,#,**,1,T,1,990469964,0,L,1,56,16,4,0,1058,0,1
80,99,1,11,7,2,H,1,988918594,0,L,1,34,35,4,0,130,0,1
100,99,99,#,15,1,H,0,961801762,0,a,1,49,55,4,0,324,0,1
50,99,1,#,8,2,T,0,243719858,500,#,1,36,37,2,0,2500,0,#
50,99,1,#,**,2,C,0,248167868,500,L,1,61,61,4,0,1,0,1
50,99,1,#,23,1,N,1,804679546,0,L,1,17,26,3,0,1836,0,1
40,99,28,#,28,1,K,0,253733543,0,L,1,21,22,2,0,610,1,1
20,99,1,#,47,2,Q,0,244021378,500,L,1,41,15,3,0,130,0,1
100,99,1,#,**,2,K,0,604026979,0,a,1,18,37,2,0,324,0,1
50,99,1,#,13,1,T,0,325277319,0,L,1,58,71,4,0,400,0,1
3,99,1,12,1,2,D,0,250047689,0,L,1,62,64,2,0,120,0,1
50,99,1,#,**,2,K,0,992558055,500,L,1,64,64,2,0,120,0,1
50,99,1,#,8,2,T,1,340548591,0,L,1,22,29,2,0,2116,0,1
50,99,1,#,28,1,K,0,950066451,0,L,1,35,41,2,0,7040,0,1
90,99,1,#,13,2,T,1,956301346,0,a,1,23,31,4,0,11439,0,1
20,99,99,#,21,1,C,1,981959471,0,a,1,40,20,2,0,1987,0,1
100,99,8,#,27,2,K,0,614585723,0,L,1,20,35,4,0,2160,0,1
30,4,6,11,13,2,T,1,955115237,0,L,1,23,28,2,1,700,0,1
100,99,1,11,**,1,N,1,958936755,0,L,1,17,22,4,0,700,0,1
30,7,1,11,33,1,N,1,245525971,0,a,1,41,44,2,2,700,0,1
110,99,1,#,1,1,D,0,103104736,0,L,1,33,41,4,0,65880,0,1
110,99,1,#,9,2,T,0,303753228,0,L,1,28,46,4,0,240,0,1
50,99,1,11,33,1,N,0,981703737,0,L,1,44,46,2,0,46900,0,1
80,99,1,12,**,1,T,1,240285350,500,L,1,40,40,4,0,324,0,1
90,99,1,12,**,2,T,1,984157606,0,L,1,46,47,4,0,8848,0,1
3,11,1,#,12,1,T,1,240140522,500,#,1,35,36,3,2,999,0,#
100,99,1,11,**,1,T,0,962834396,0,L,1,53,57,4,0,216,0,1
140,99,1,#,18,2,R,1,961684381,0,L,1,40,19,4,0,800,0,1
100,8,1,#,40,2,Q,0,943514762,0,L,1,27,34,2,2,13940,0,1
20,99,99,#,22,2,T,1,983314357,0,a,1,43,18,4,0,1690,0,1
60,99,1,11,1,1,D,1,944375046,0,L,1,22,29,2,0,1007,0,1
80,99,1,11,14,1,T,0,318003600,0,L,1,27,39,2,0,200,0,1
50,99,1,#,11,2,T,0,967361383,0,L,1,66,70,2,0,456,0,1
50,99,1,12,33,#,N,0,246068658,0,L,2,999,0,2,0,2640,0,1
50,99,1,#,1,1,D,0,103540513,0,a,1,15,64,2,0,864,0,1
80,99,1,11,1,1,D,0,970788045,0,L,1,20,23,2,0,260,0,1
50,99,1,11,**,2,T,1,252615015,500,L,1,70,70,1,0,537,0,1
70,99,1,11,46,1,Q,0,994594533,0,a,1,29,33,4,0,240,0,1
3,99,1,11,**,2,R,0,255588298,500,L,1,50,50,1,0,1,0,1
50,99,1,12,**,2,T,0,245773176,500,L,1,26,27,2,0,480,0,1
30,6,10,#,42,2,Q,0,949364118,0,a,1,22,30,2,3,3630,0,1
50,99,1,11,**,2,T,1,248617175,0,a,1,64,66,2,0,5168,0,1
50,99,17,12,11,2,T,1,944540818,0,L,1,21,30,2,0,20082,0,1
80,99,1,12,36,2,S,0,991986553,0,L,1,49,19,4,0,1,0,1
100,99,1,12,27,2,K,0,993757630,500,L,1,53,54,4,0,120,0,1
80,99,1,12,**,2,T,1,990315702,0,L,1,41,42,4,0,648,0,1
100,10,1,11,47,2,Q,0,985775708,500,L,1,40,44,2,3,324,0,1
10,4,8,#,4,1,H,0,200425181,0,L,1,49,69,2,2,1,0,1
100,99,1,11,4,2,H,1,959260307,0,a,1,24,31,4,0,1352,0,1
90,99,1,12,38,2,S,0,986415170,0,L,1,45,20,4,0,130,0,1
80,99,1,#,21,2,C,0,252014761,500,9,1,32,33,4,0,4748,0,#
100,99,1,11,45,2,Q,0,975032794,0,L,1,54,59,4,0,324,0,1
3,4,1,#,16,1,R,1,957934592,0,L,1,44,48,2,9,240,1,1
90,99,1,#,42,2,Q,1,941482864,0,L,1,38,46,4,0,1980,0,1
50,99,1,#,**,2,K,0,973268111,0,L,1,69,14,2,0,360,0,1
50,99,1,11,4,2,H,0,947276608,0,L,1,53,58,2,0,240,0,0
5,99,1,#,**,1,D,0,259493201,500,L,1,45,12,2,0,1,0,1
120,99,1,#,13,2,T,0,323706207,0,a,1,35,53,4,0,2050,0,1
100,99,1,#,13,2,T,0,942517631,0,a,1,28,38,2,0,1719,0,1
100,99,8,#,27,2,K,0,613224545,0,a,1,15,33,4,0,324,0,1
70,99,1,12,**,2,K,1,985720711,0,L,1,33,37,2,0,1746,0,1
50,99,1,#,27,2,K,0,987981736,0,L,1,26,27,2,0,2700,0,1
50,99,8,12,46,2,Q,1,963200035,0,L,1,39,43,3,0,3800,1,1
100,99,1,12,**,1,C,1,961153593,0,L,1,24,29,4,0,56370,1,1
60,99,8,#,27,1,K,0,603698240,0,L,1,21,40,3,0,216,0,1
10,3,20,#,14,1,T,1,325819787,0,L,1,25,37,2,5,1007,0,1
100,99,10,12,34,1,N,0,982885611,500,L,1,33,12,4,0,324,0,1
60,99,1,11,**,2,Q,1,964652068,0,L,1,24,27,3,0,916,0,1
5,99,1,#,21,1,C,0,256931391,0,a,1,63,67,2,0,2724,0,1
