id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign
252779361,2,#,0,27,1,3,#,0,T,999,0,9
964924167,1,1,68,**,2,1,12,0,K,64,1,L
996902559,1,1,69,27,4,1,#,500,K,68,1,R
974099427,1,1,32,**,4,1,11,500,T,31,1,L
951808254,1,1,31,27,2,1,11,0,K,26,1,L
994245482,1,1,30,27,2,1,12,0,K,29,1,L
273842960,1,1,26,11,4,1,11,0,T,26,1,a
978660989,1,1,46,23,2,1,#,0,C,44,1,L
974340633,1,2,35,40,3,1,#,0,Q,32,1,L
972748359,1,2,62,22,4,10,12,0,C,60,1,L
962042227,2,#,0,14,2,3,#,0,T,999,1,L
986519333,1,2,67,4,2,1,16,500,H,66,1,L
985093842,1,2,47,**,4,1,11,0,K,46,1,L
261391544,1,1,15,30,2,1,#,500,K,27,1,L
943508647,1,1,19,**,4,1,#,0,K,43,1,L
255721454,2,#,0,13,1,3,#,0,T,999,#,9
973285810,1,1,29,**,2,1,#,10,T,26,#,#
959624221,1,1,57,23,4,99,#,0,C,53,1,M
318374239,1,1,34,14,2,1,#,0,T,26,1,L
985194454,1,1,21,**,4,8,12,0,Q,16,1,a
972058729,1,2,21,47,4,17,11,0,Q,18,1,L
969849496,1,2,50,**,3,1,#,0,K,48,1,M
100196335,1,1,68,1,2,1,#,0,D,49,1,L
962904837,1,2,57,**,2,1,11,0,C,54,1,L
269521225,1,1,32,**,4,99,#,0,C,32,1,a
978950807,1,1,66,**,4,1,#,500,K,64,1,L
257230464,1,2,75,12,4,8,#,500,T,75,1,L
100685139,1,2,68,1,2,1,#,0,D,51,1,a
989508024,1,2,15,23,4,1,#,0,C,44,1,a
973113141,1,1,28,26,4,27,#,0,K,24,1,L
955059887,1,1,28,13,2,1,#,10,T,24,#,#
940360130,1,1,45,13,4,10,#,0,T,38,0,#
970071511,2,#,0,17,2,1,#,0,T,999,1,L
248836596,1,2,46,23,2,27,#,0,C,44,1,L
981876991,1,2,44,**,4,1,12,0,D,41,1,L
800549684,1,2,73,34,3,99,#,0,N,54,1,L
994497774,1,1,26,26,2,1,11,0,K,25,1,L
703601551,1,1,40,18,2,1,#,0,R,30,1,L
260682843,1,1,50,**,4,1,#,0,T,50,1,a
256800229,1,1,40,11,2,1,#,500,T,40,1,L
261676413,1,1,31,14,4,6,#,500,T,31,#,9
253803161,1,2,50,23,4,1,12,0,T,55,1,a
506156617,1,1,72,23,2,1,#,0,C,56,1,L
249837239,2,#,0,13,90,1,#,0,T,999,51,9
949133117,2,#,0,21,2,1,#,0,T,999,1,L
904528914,1,1,49,43,2,99,#,0,Q,32,1,a
316707233,1,2,34,12,4,11,#,0,T,21,1,L
256223221,1,1,24,11,4,27,#,500,T,24,0,9
996495498,1,1,33,14,4,1,#,500,T,33,1,L
986206976,1,2,63,33,4,1,12,0,T,61,1,R
247551249,1,2,40,40,4,1,11,0,Q,39,1,a
984592656,1,2,39,**,4,1,12,0,T,37,1,L
326408256,2,#,0,13,2,99,#,0,T,999,0,0
516176276,1,2,19,24,2,1,#,0,C,35,1,L
962833882,1,2,37,1,4,1,#,0,D,32,1,L
304921587,1,1,67,21,2,1,#,0,T,53,1,L
992145745,1,2,14,**,4,1,#,0,T,41,61,P
509159511,1,1,57,34,4,1,#,0,T,51,1,0
972073367,1,2,36,22,2,1,11,0,C,30,1,a
970169508,1,1,62,12,2,1,#,0,T,61,1,L
303717767,1,1,39,34,2,1,#,0,T,21,1,L
840051691,1,2,76,13,2,1,#,0,T,47,1,L
956437089,1,1,37,28,4,1,#,0,K,32,1,L
994296456,1,2,55,**,4,99,#,500,T,54,1,R
607113231,1,1,48,27,2,1,12,0,T,39,1,L
985351293,1,2,14,**,2,1,12,0,D,38,1,L
997572654,1,2,17,7,4,1,#,0,H,40,1,a
247607689,1,2,32,**,2,1,11,500,T,30,1,L
968827923,1,2,32,22,2,1,12,0,C,29,1,L
992664609,1,1,26,13,1,99,#,99,T,25,1,#
509132810,1,1,25,24,2,17,11,0,C,17,1,L
264804925,2,#,0,13,90,99,#,900,T,999,#,9
962500133,1,2,20,27,4,17,#,0,C,17,1,M
959359922,1,1,46,9,4,99,#,0,T,41,1,M
253337111,1,1,52,**,4,1,#,500,Q,52,#,9
257000469,1,2,21,26,4,1,#,0,K,21,1,a
981017327,1,2,70,38,2,1,12,0,T,67,1,a
982525829,1,2,34,**,4,1,#,0,T,33,1,L
940928178,1,1,26,19,4,1,#,0,T,20,0,#
962413273,1,1,48,40,4,1,11,0,Q,41,1,a
980785275,2,#,0,**,1,98,11,0,T,999,51,#
266355973,1,1,35,**,4,1,#,500,K,34,#,9
614641587,1,1,71,29,2,1,#,0,K,58,1,a
508791951,1,2,79,21,4,20,#,0,C,70,1,L
988066665,1,1,24,1,4,1,11,0,D,23,1,L
968975549,1,2,73,1,2,12,#,0,D,69,61,P
988214902,1,1,24,23,3,8,11,0,C,23,1,L
983363287,1,2,13,18,4,1,11,0,R,30,1,L
240905684,1,2,16,23,4,1,#,0,C,56,1,L
976972674,1,1,37,27,4,1,#,0,K,35,1,L
902079399,1,1,69,44,2,99,#,0,Q,50,1,a
267716773,1,2,63,**,2,1,12,500,N,62,1,L
970621500,1,2,48,**,4,10,#,0,T,45,1,L
990095624,1,1,65,1,2,1,12,500,D,63,1,L
941792903,1,2,42,37,2,1,#,0,S,42,1,L
960580020,1,1,49,**,2,1,#,0,K,45,1,M
265636095,1,2,23,**,4,1,11,0,Q,22,1,a
240838013,2,#,0,13,2,16,#,0,T,999,51,9
601266395,1,2,55,26,2,1,#,0,K,36,0,L
962220582,2,#,0,23,2,3,#,0,T,999,51,#
507533253,1,2,61,23,2,1,#,0,C,49,1,L
260549133,1,1,53,24,4,99,#,0,C,53,1,L
968845861,1,2,32,14,2,1,#,0,T,29,1,L
263196336,2,#,0,27,1,3,#,0,T,999,51,9
983050563,1,1,17,23,2,1,#,0,C,37,1,L
991003477,1,2,57,13,4,1,11,500,T,56,1,L
800686933,1,1,69,31,2,99,#,0,N,51,1,0
978911697,1,1,74,40,2,99,#,0,Q,71,1,L
994497862,1,2,47,**,3,1,#,500,T,46,1,R
978152962,1,2,52,12,2,1,#,0,T,50,1,L
990867218,1,2,50,**,4,1,12,0,S,49,1,R
251803494,1,1,37,34,4,1,11,500,N,37,1,L
994458284,1,1,37,**,4,1,11,500,R,36,1,L
951692789,1,1,37,**,4,1,11,0,T,32,1,L
963901455,1,1,43,**,4,1,#,0,T,41,1,M
403281983,1,1,39,37,2,1,#,0,S,25,1,L
996898672,1,1,36,**,2,1,#,500,H,34,#,9
308779665,2,#,0,1,1,3,#,0,T,999,51,#
958698330,1,2,58,**,4,1,11,0,T,53,1,L
956713433,2,#,0,13,2,1,#,0,T,999,1,L
256646082,2,#,0,**,90,99,#,0,T,999,#,9
966280919,2,#,0,22,2,16,#,0,T,999,1,L
963884660,1,1,34,13,4,1,#,0,T,30,#,#
963604441,1,1,43,**,4,1,#,0,T,41,1,M
604172346,1,1,49,26,4,1,#,0,K,29,1,L
943523515,1,1,28,27,2,99,#,0,K,22,1,L
249957817,1,1,53,13,2,1,#,500,T,53,#,#
970574131,1,2,36,**,2,1,11,0,C,32,1,L
986492387,1,2,55,**,4,1,12,0,T,54,1,L
961497290,1,2,60,11,4,99,#,0,T,56,1,M
952207846,1,1,42,8,3,1,#,0,T,38,1,M
901797960,1,1,50,40,2,99,#,0,Q,33,1,L
950925520,1,2,27,27,4,1,11,0,T,23,1,L
945106480,1,2,27,**,3,1,#,0,K,20,1,L
507817999,1,1,28,**,2,1,#,0,C,15,1,a
987476212,1,1,18,**,2,1,11,0,T,45,1,a
268352585,1,2,42,32,2,1,#,0,N,41,1,a
967119727,1,2,35,20,4,10,#,0,T,33,61,P
970256533,1,1,26,3,2,1,15,0,T,23,1,L
508570956,1,#,0,22,4,1,#,0,C,35,1,0
316635532,1,1,49,8,2,1,#,0,T,36,1,L
403785604,1,2,47,38,2,1,#,0,S,39,1,L
245446339,1,2,47,23,2,1,16,500,C,45,1,L
801420812,1,1,51,34,2,99,#,0,N,35,1,L
964723827,1,1,40,**,3,1,#,0,K,38,#,#
970789462,2,#,0,40,2,1,12,0,T,999,1,L
991959668,1,2,58,**,2,1,11,500,Q,56,1,L
942419685,1,2,33,28,4,1,12,0,K,26,1,L
243531921,1,2,50,**,3,1,#,500,T,48,#,9
204383966,1,1,39,13,2,99,#,0,H,25,1,a
994730708,2,#,0,13,1,3,#,0,T,999,51,#
956118549,1,2,16,35,2,1,#,0,N,30,1,L
264467980,1,1,50,47,4,1,#,0,Q,48,1,a
978336193,1,1,41,17,4,1,#,0,T,39,1,L
989802655,1,2,18,23,2,1,#,0,C,43,1,a
941728409,1,1,64,**,4,1,#,0,C,58,1,L
243872351,1,1,41,**,3,1,#,0,T,41,1,L
308416726,1,2,75,**,2,1,#,0,T,66,1,0
944208050,1,2,32,8,4,10,11,0,T,26,1,L
614875780,1,1,73,28,2,1,#,0,K,62,1,L
994212724,1,1,49,**,4,1,#,0,Q,45,1,a
996588042,2,#,0,13,1,99,#,0,T,999,51,#
943453221,2,#,0,13,4,3,#,0,T,999,1,M
500768829,1,1,52,23,4,1,#,0,C,32,1,L
986173868,2,#,0,1,2,1,12,0,T,999,1,R
966832020,1,1,35,39,4,1,#,0,S,31,#,#
967401280,1,1,46,**,2,1,12,0,K,42,1,L
252010418,1,2,23,22,4,1,11,0,C,28,1,L
947015067,1,1,24,22,3,8,#,0,C,20,1,L
249379849,2,#,0,27,1,3,16,0,T,999,0,9
984716064,1,1,33,40,4,1,11,0,Q,32,1,L
604596288,1,2,35,27,4,8,#,0,K,19,1,L
306761369,1,2,40,11,2,26,#,0,T,29,1,L
987986180,1,2,43,4,4,1,#,500,H,42,1,L
943154522,1,2,31,28,4,1,11,0,K,22,1,a
308986596,2,#,0,13,2,1,11,0,T,999,1,0
251175629,2,#,0,13,1,3,#,0,T,999,1,L
960775670,1,1,54,13,4,1,#,0,T,52,1,L
981280950,1,1,18,27,4,1,12,0,K,44,1,L
906674406,1,1,63,40,2,1,#,0,Q,52,1,a
243067102,1,2,30,27,2,1,#,0,K,28,1,L
245439197,2,#,0,13,1,99,#,0,T,999,#,9
328613980,1,1,24,14,4,10,#,0,T,15,1,a
507692167,1,1,41,23,4,1,#,0,C,31,1,L
254313977,1,2,38,11,4,1,#,500,T,36,1,L
967380393,1,1,62,34,4,1,#,0,N,60,1,L
944122135,1,2,25,27,3,1,12,0,K,19,1,L
972635973,1,2,40,38,4,8,11,0,S,37,1,L
244121220,1,1,66,**,2,1,11,500,T,65,1,L
989228585,1,2,19,22,2,1,11,0,C,40,1,L
261664385,1,2,60,40,2,1,#,0,Q,60,1,a
255880611,1,2,45,**,4,1,11,0,K,45,1,a
252927644,1,1,50,20,4,1,11,500,T,50,1,L
985061199,1,2,33,10,2,8,12,0,T,31,1,L
982165443,1,1,52,23,3,1,#,0,C,50,1,R
509074830,1,2,42,25,2,1,11,0,C,34,1,L
254432761,2,#,0,13,90,99,#,2300,T,999,#,9
965400258,1,2,27,23,4,99,#,0,T,23,1,L
203396687,1,1,42,4,2,1,#,0,H,28,1,L
317685034,1,2,7,13,2,1,#,0,T,29,1,L
306355671,1,1,26,11,2,1,#,0,T,15,1,L
804958206,1,2,55,**,4,1,11,0,N,48,1,L
603598810,1,2,39,27,4,99,#,0,K,20,1,L
262965263,1,1,68,47,1,1,11,500,Q,68,1,L
250314916,1,2,23,27,2,1,#,500,K,21,1,L
257042261,1,2,20,27,4,6,11,0,K,19,1,a
840018534,2,#,0,13,90,99,#,0,T,999,#,#
991506761,1,2,17,47,4,1,#,0,Q,43,1,L
965592847,1,2,46,13,4,1,#,0,T,44,1,M
903534073,1,1,35,40,4,99,#,0,Q,20,1,L
977329432,1,1,31,13,1,99,#,99,T,29,1,L
503050884,1,2,42,23,4,1,#,0,C,20,1,a
257658522,1,2,65,**,2,1,11,500,T,65,1,L
988904047,1,2,30,**,2,1,12,0,T,26,1,a
606986884,1,1,60,**,4,1,#,0,K,51,1,R
946905194,1,1,22,**,2,1,#,0,K,19,1,L
993385753,2,#,0,14,2,1,16,0,T,999,1,L
103872911,1,2,20,1,4,1,#,0,D,45,1,L
242944152,1,2,13,27,2,1,#,500,K,37,1,L
972770326,1,2,56,**,2,1,#,0,C,53,1,L
340060407,2,#,0,20,2,1,#,0,T,999,1,I
508392582,1,2,68,**,4,1,#,0,C,63,1,L
315505253,1,1,69,11,2,1,#,0,T,53,1,L
993971770,2,#,0,44,4,99,#,0,T,999,51,9
945816374,1,2,52,21,4,1,#,0,C,46,1,L
942483003,2,#,0,33,2,1,#,0,T,999,1,L
318868155,1,1,31,14,4,1,12,0,T,21,1,a
969538326,1,2,56,**,2,1,11,0,T,52,1,L
240423583,1,2,35,23,2,1,#,0,C,33,1,R
254781894,1,2,24,14,3,8,#,0,T,24,1,a
250219187,1,2,26,4,4,1,#,500,H,26,#,9
967628090,1,2,57,**,2,1,#,0,K,50,1,a
969664970,1,2,56,**,4,1,#,10,K,53,#,#
960665670,1,1,44,**,2,1,11,0,T,40,1,L
327189759,1,2,23,**,4,17,12,0,T,15,1,L
903261231,1,1,43,13,4,99,#,0,Q,25,1,a
954307994,1,2,22,31,2,17,11,0,N,17,1,L
340688758,1,1,50,11,4,1,11,0,T,43,1,L
996776205,1,1,58,**,4,1,12,500,T,58,1,L
969813976,1,1,29,11,2,1,#,500,T,26,1,L
314967285,1,1,59,14,4,99,#,0,T,42,1,L
959822427,1,2,47,37,4,1,11,0,S,43,1,L
993114477,1,1,39,16,4,10,#,0,R,37,1,L
503856860,1,1,41,23,2,1,#,0,C,23,1,L
968189566,1,1,34,**,4,1,#,0,K,31,#,#
907581058,1,1,42,44,4,1,11,0,T,35,1,L
264294292,1,1,69,**,2,1,#,0,N,69,#,#
971991814,1,2,17,28,4,10,12,0,K,42,1,L
986687483,1,1,74,**,2,1,#,0,S,73,61,P
953473591,1,2,24,**,2,17,11,0,Q,18,1,L
960812851,1,2,44,13,4,99,12,0,T,40,1,L
987279082,1,2,52,40,4,20,#,0,Q,49,1,L
972793208,1,1,48,28,2,1,#,0,K,45,61,P
982019827,1,1,75,28,3,1,#,0,K,72,1,L
965656001,1,2,42,47,4,99,#,100,Q,38,1,L
308441965,2,#,0,13,90,1,12,0,T,999,1,L
979511085,1,1,75,23,4,1,#,0,C,73,1,L
982107011,1,1,35,4,4,1,#,0,H,35,1,R
968484546,1,1,39,**,2,1,11,0,C,36,1,L
604347835,1,2,63,28,2,1,#,0,K,46,1,L
340090148,2,#,0,27,2,3,#,0,T,999,1,L
993881427,1,2,25,14,2,1,#,0,T,24,1,L
973269525,1,1,56,27,4,99,#,0,K,53,1,L
615996398,1,1,62,26,4,1,#,0,K,53,1,L
989651286,1,2,16,11,2,1,#,0,T,53,1,L
973611540,1,2,47,13,4,1,12,500,T,44,1,L
943832320,1,1,55,27,3,1,#,0,K,49,1,L
316500150,1,1,35,13,2,8,#,0,T,21,1,0
987754710,1,1,77,1,4,99,#,500,Q,76,1,L
982348063,1,2,56,28,4,1,11,0,K,53,1,L
966836561,1,1,27,16,3,17,#,0,R,23,#,#
509420455,1,2,47,23,4,1,#,0,C,39,1,L
961658954,1,1,65,17,2,99,#,0,R,63,1,M
316446397,1,2,34,13,3,1,#,0,T,20,1,L
264469186,1,1,53,14,4,1,11,0,T,50,1,a
998050397,1,2,46,19,2,1,#,0,T,46,1,R
305831759,1,1,75,20,2,1,#,0,T,47,1,L
403534480,1,1,47,36,2,1,#,0,S,38,1,L
501122806,1,1,43,23,2,1,#,0,C,24,1,L
505747310,1,1,33,14,4,1,#,0,C,17,1,L
976966439,1,1,41,11,4,1,#,10,T,38,#,#
977938890,1,2,22,4,2,1,#,0,H,21,#,#
970769553,2,#,0,13,1,3,#,0,T,999,1,M
965525854,1,1,27,**,4,1,12,0,T,26,1,L
991873110,1,1,43,24,2,1,#,0,C,41,1,L
986269182,1,1,35,14,4,99,#,0,T,33,61,P
991214503,1,2,47,**,4,99,#,500,T,46,1,R
996929483,1,2,27,13,2,27,12,0,T,27,1,L
975462766,1,2,47,14,2,1,11,0,T,45,1,L
951584064,1,2,32,**,4,1,#,0,T,26,1,L
305498462,1,2,51,8,2,1,#,0,T,37,1,L
200551354,1,1,43,4,2,99,#,0,H,24,1,L
971343952,1,1,28,2,3,1,#,0,H,26,1,L
992569726,1,1,31,22,2,1,11,0,T,30,1,L
987881076,1,1,22,**,4,1,#,0,T,18,1,a
983933324,1,1,16,30,2,8,#,0,K,15,1,L
258190904,1,2,47,**,4,1,12,0,N,47,1,a
301230451,1,2,59,8,2,1,#,0,T,36,1,L
261838697,1,1,9,**,4,1,11,0,H,49,1,a
967895615,1,1,42,**,4,1,#,0,T,39,1,M
613613047,1,2,49,14,4,99,#,0,K,33,1,L
945833645,1,1,32,34,4,10,12,0,N,26,1,L
968878458,1,1,41,13,1,99,#,99,T,37,1,L
103930891,1,2,52,1,2,1,#,0,D,42,1,L
504910137,1,2,51,23,4,1,#,0,C,34,1,R
959728511,1,1,19,22,4,1,11,0,C,45,1,L
516338258,2,#,0,27,2,16,#,0,T,999,1,L
262723141,1,2,27,23,4,99,#,0,C,31,1,a
803348135,1,2,66,**,2,99,#,0,N,50,1,L
974716250,1,1,26,23,2,1,#,0,C,24,1,L
956933045,1,1,31,13,90,99,#,320,N,27,#,#
314915124,1,2,48,8,2,1,#,0,T,29,1,L
959637503,1,2,44,11,4,6,#,0,T,40,1,L
907431152,1,1,57,40,2,1,12,0,Q,50,1,L
963216986,1,1,31,12,4,1,#,0,T,29,1,L
605740108,1,1,70,26,2,1,#,0,K,51,1,L
941306812,1,1,26,35,2,1,12,0,N,53,1,L
987465522,1,1,22,**,2,1,11,0,T,17,1,a
977141067,1,1,58,**,4,1,#,0,K,56,61,P
987550140,2,#,0,13,1,3,#,0,T,999,51,#
509150092,1,2,72,23,4,10,#,0,C,66,1,0
979954888,1,1,48,**,4,1,#,500,T,46,1,L
250397955,1,1,40,**,4,1,#,0,K,40,1,L
965956303,1,1,33,13,4,10,11,0,T,29,1,L
251534850,1,1,15,6,1,1,#,0,H,49,1,a
515662286,1,1,55,23,2,99,#,0,C,45,1,L
904352777,1,#,0,40,4,1,#,0,Q,23,1,0
966257039,2,#,0,25,4,1,11,0,T,999,1,L
959734037,2,#,0,13,2,1,#,0,T,999,0,N
993491441,1,2,28,34,4,1,12,0,N,27,1,L
969613951,1,2,30,13,4,1,#,0,Q,28,1,L
964670688,1,1,37,11,4,1,11,0,T,30,1,a
308631660,1,2,38,13,2,1,#,0,T,29,1,L
973115864,1,2,41,**,4,1,12,0,C,37,1,L
264524673,1,2,59,**,2,1,11,0,Q,61,1,a
992649661,1,2,54,**,2,1,12,500,T,53,1,L
957334883,1,1,26,13,1,1,#,99,T,21,0,L
975547588,1,2,25,**,4,1,#,0,Q,23,1,L
983571864,1,1,28,25,4,1,#,0,K,27,1,L
985963306,1,2,44,13,4,1,#,500,D,43,1,R
269683979,1,2,28,**,2,1,11,0,C,28,1,a
980462331,1,2,56,29,2,1,#,0,K,54,1,M
247097401,1,1,62,**,4,1,12,500,T,60,1,L
971158315,1,1,60,28,2,1,12,0,K,57,1,L
964172401,2,#,0,13,4,16,#,0,T,999,1,L
985125900,1,2,30,13,4,1,#,0,T,28,1,L
905650996,1,2,42,40,2,8,#,0,Q,34,1,L
949901074,2,#,0,4,2,1,11,0,C,999,1,L
614953833,1,1,46,28,4,1,#,0,K,35,1,L
250253801,1,1,12,**,2,1,#,500,T,49,1,L
260831762,1,1,50,23,4,99,#,0,C,50,1,a
263405493,1,2,34,**,2,1,11,500,T,34,1,L
804826863,1,2,22,34,2,17,#,0,N,14,1,L
244277904,1,2,53,**,2,1,12,0,T,51,1,L
981865854,1,1,20,**,2,1,#,0,T,15,1,a
983264357,1,1,12,**,4,1,#,0,H,36,1,R
326811074,1,1,24,13,4,1,#,0,T,14,1,L
951267550,1,2,59,**,2,1,#,0,N,54,1,L
942517631,1,2,38,13,2,1,#,0,T,28,1,a
205028311,1,2,76,4,3,20,#,0,H,69,1,L
258136381,1,1,61,35,3,1,12,500,Q,60,1,L
307204883,2,#,0,13,2,99,#,0,T,999,1,L
976569541,1,1,27,1,2,1,#,0,D,25,1,L
976959434,1,2,43,13,4,1,#,0,T,41,1,L
986749070,2,#,0,**,4,99,#,0,T,999,51,#
258503188,1,2,44,28,4,8,#,0,K,43,1,a
244976080,1,2,53,30,4,1,11,0,K,53,1,L
263500878,1,1,31,**,2,1,#,500,T,31,#,9
271606798,1,#,0,27,2,1,#,11,K,62,1,#
504526640,1,1,52,22,90,1,#,0,C,35,1,L
266352081,1,2,26,24,2,1,#,0,C,26,1,L
103021603,1,1,45,1,2,2,#,0,D,30,1,L
982662676,1,1,42,**,4,1,12,0,K,41,1,L
987319227,1,1,42,12,4,1,11,0,T,45,1,L
978877793,1,2,60,23,4,1,#,0,C,57,1,L
