identified_doc,id,sex,bill_updage_count,paid_flg,selling_method,campaign,arrears_count,pref,arrears_at,age,region,career,contract_type,customer_rank,amount,entry_age,domain,payway
6,976922841,1,1,0,1,L,0,13,99,22,T,#,1,50,960,19,0,2
21,947688660,2,1,0,1,a,0,27,99,27,K,#,1,40,130,18,0,2
1,251593957,2,1,0,0,#,1,**,8,40,K,11,1,30,756,40,500,2
1,991218376,1,0,0,1,L,0,**,99,5,H,12,1,2,2000,31,0,4
1,996953970,2,0,0,1,L,1,40,11,22,Q,12,1,50,540,22,500,2
1,253869974,2,1,0,1,L,0,**,99,47,S,#,1,5,1134,47,500,2
10,950079648,2,1,0,1,L,0,27,99,53,K,11,1,130,216,48,0,4
1,257388678,1,0,0,1,L,0,**,99,59,K,11,1,30,1,59,500,2
1,259764056,2,0,0,1,a,0,**,99,5,T,12,1,2,1188,39,0,2
17,945302848,2,0,0,1,L,0,8,99,21,T,#,1,50,324,15,0,2
1,240448553,1,1,0,1,L,0,47,99,41,Q,#,1,80,240,41,500,4
99,983596144,1,0,0,1,L,0,15,99,26,T,#,1,90,540,22,0,2
1,203068010,1,0,0,1,L,0,5,99,64,H,#,1,50,5760,48,0,4
1,972269324,1,1,0,1,L,3,46,9,26,Q,#,1,0,13000,22,0,2
1,605887162,2,0,0,1,a,0,27,99,28,K,#,1,100,980,47,0,4
1,990855020,2,0,0,1,L,0,14,99,41,T,#,1,100,600,40,0,4
1,245157975,2,0,0,1,L,0,**,99,62,Q,12,1,50,480,61,500,4
1,318651523,1,0,0,1,L,3,14,10,40,T,12,1,3,960,32,0,2
1,991124140,2,1,0,1,L,0,**,99,61,C,11,1,50,540,57,500,4
1,949048250,2,1,0,1,L,0,28,99,43,R,#,1,60,6997,36,0,2
17,947902100,1,1,0,1,L,0,35,99,24,T,#,1,80,1820,19,0,4
17,973814584,2,0,0,1,L,0,14,99,21,T,#,1,70,1007,15,0,2
1,249994056,2,0,0,1,L,0,42,99,22,Q,11,1,50,960,20,0,3
1,977736926,1,0,0,1,L,1,1,12,44,T,11,1,100,540,40,0,2
1,260029875,1,0,0,1,L,0,**,99,79,T,12,1,30,1023,78,500,4
17,950344940,2,0,0,1,L,0,33,99,23,N,11,1,100,324,17,0,4
1,962076281,1,0,1,1,a,3,40,10,22,Q,#,1,100,540,58,0,2
99,905343177,1,0,0,1,L,0,35,99,32,Q,#,1,60,500,20,0,2
1,241811216,2,1,0,#,#,0,**,99,12,Q,#,1,20,2548,42,500,4
1,340650341,1,0,0,1,L,0,**,99,46,T,#,1,100,5400,37,0,3
99,403383839,2,0,0,1,L,0,37,99,64,S,#,1,50,120,51,0,2
1,986341177,1,1,0,1,L,1,23,4,52,C,#,1,10,980,50,0,2
1,244200430,1,0,0,1,L,0,35,99,17,N,#,1,100,864,45,0,2
21,318831812,1,1,0,1,L,3,12,3,28,T,#,1,10,2970,20,0,3
1,325237948,2,0,0,1,L,0,11,99,27,T,#,1,100,324,40,0,4
1,957358534,2,0,0,1,L,0,**,99,18,H,#,1,100,324,39,0,4
1,616000590,1,0,1,1,L,0,14,99,35,K,11,1,110,3250,27,0,4
6,241460941,2,0,0,1,L,0,12,99,42,T,11,1,60,250,40,0,4
8,241138860,2,0,0,#,#,0,14,99,61,T,12,1,100,324,61,500,4
99,904814595,2,0,0,1,L,0,40,99,34,Q,#,1,110,120,20,0,4
1,703753255,2,0,0,1,L,0,16,99,48,R,#,1,120,872,40,0,4
1,967899554,2,0,0,1,L,0,**,99,59,Q,11,1,100,302,53,0,2
8,993081020,2,0,0,1,L,0,26,99,45,K,12,1,40,54,44,0,2
27,248768087,1,1,1,1,L,0,13,99,29,T,11,1,3,1620,29,0,1
1,954699894,1,0,0,1,L,3,11,10,29,T,11,1,3,980,24,0,2
1,259643630,1,0,0,1,L,0,**,99,29,T,#,1,5,1,28,500,2
1,968752436,2,1,0,1,L,0,38,99,50,S,#,1,110,5517,46,0,4
99,245720511,1,1,0,#,#,0,13,99,29,T,#,1,70,1300,28,0,4
8,965756814,1,1,0,1,a,1,28,12,22,K,#,1,30,1110,16,0,2
1,953457719,2,3,0,1,L,0,**,99,21,K,#,1,80,594,15,0,4
1,949254477,1,0,0,1,L,0,**,99,69,K,11,1,100,1404,63,0,4
1,607311645,1,0,0,1,L,3,13,10,31,K,12,1,30,8220,24,0,3
1,986413832,2,0,1,1,L,8,40,3,34,Q,15,1,0,324,32,500,2
1,253834137,1,0,0,1,R,0,**,99,41,T,#,1,5,1,41,500,4
1,245625616,2,0,0,1,L,0,13,99,63,T,#,1,100,324,63,500,2
1,247379350,1,0,1,1,a,7,11,3,20,T,12,1,0,900,20,0,2
1,308749623,1,1,0,1,L,0,14,99,41,T,12,1,70,1007,30,0,2
28,253309115,2,0,0,1,L,2,27,6,48,K,12,1,20,980,47,500,2
1,996010332,2,0,0,1,L,0,**,99,28,T,12,1,90,1007,28,0,4
1,506942372,1,0,0,1,a,0,23,99,43,C,#,1,100,324,26,0,4
1,243269506,1,1,0,1,L,1,24,4,18,C,#,1,3,580,18,0,2
1,953260889,2,0,0,1,a,0,23,99,20,C,#,1,100,648,45,0,4
1,961822047,2,0,0,1,a,0,13,99,25,T,11,1,100,5800,18,0,4
1,200901574,2,1,0,1,L,0,15,99,42,H,#,1,70,240,24,0,2
1,240404336,2,1,0,1,L,0,34,99,23,N,#,1,3,1920,23,0,2
1,982749972,2,0,0,1,L,0,24,99,43,C,11,1,100,324,41,0,4
1,946190625,1,1,0,1,a,0,**,99,38,T,#,1,50,2833,29,0,2
1,614641587,1,0,0,1,a,0,29,99,71,K,#,1,50,1,58,0,2
99,505252494,2,0,0,1,L,0,23,99,36,C,#,1,110,960,19,0,4
1,248001331,1,1,0,1,L,0,**,99,48,T,11,1,80,2149,46,0,4
6,316764576,2,0,0,1,L,0,12,99,61,T,#,1,50,1175,46,0,4
1,241240097,1,0,1,1,L,8,**,5,3,K,12,1,2,240,42,0,2
1,957065225,1,1,0,1,L,0,13,99,36,T,11,1,100,10500,31,0,4
1,241942311,1,0,1,1,L,6,37,3,16,S,#,1,100,1080,44,0,2
1,243174622,2,0,0,1,L,0,25,99,32,K,12,1,100,120,32,0,2
1,955806492,2,1,0,1,L,0,23,99,34,C,12,1,70,648,29,0,2
1,962110855,2,1,0,1,L,1,33,5,20,N,#,1,30,700,43,0,2
1,325797925,2,0,0,1,L,0,13,99,47,T,#,1,110,2600,35,0,4
1,971466906,1,0,0,1,L,0,40,99,17,Q,#,1,100,240,47,0,4
1,248432856,2,1,0,1,a,0,44,99,25,Q,12,1,50,400,23,0,2
8,614869460,2,0,0,1,L,0,27,99,30,K,#,1,90,130,18,0,4
1,240454330,2,1,0,1,L,0,14,99,23,T,12,1,60,2360,20,0,4
1,962856781,2,0,0,1,a,0,24,99,16,C,11,1,100,324,33,0,2
1,243641417,1,0,0,1,L,0,14,99,67,T,11,1,50,720,65,0,2
99,241293228,2,0,0,1,a,0,12,99,36,T,11,1,80,340,34,0,4
8,989271011,2,0,0,1,L,0,14,99,37,T,11,1,60,560,36,0,4
1,316647122,1,0,0,1,a,0,12,99,43,T,#,1,60,12000,27,0,2
1,204610862,2,1,0,1,L,3,15,10,69,H,#,1,3,2032,56,0,2
1,946593563,2,0,0,1,L,1,**,9,23,T,11,1,40,250,17,0,2
1,995337847,1,0,0,1,L,0,**,99,65,T,11,1,50,900,64,500,4
99,324202786,2,0,0,1,a,0,13,99,39,T,#,1,100,324,21,0,4
1,995270665,2,0,1,1,L,5,**,8,26,R,12,1,100,324,26,0,2
1,255758363,1,1,1,1,L,0,23,99,24,C,11,1,50,29717,23,500,2
1,944364172,1,0,1,1,a,3,**,10,26,Q,#,1,100,324,17,0,2
1,257018414,2,0,0,1,a,0,1,99,39,D,12,1,30,1,40,0,4
1,240502127,2,1,0,1,L,0,29,99,13,K,11,1,20,5288,35,0,2
99,103756113,2,1,0,1,L,1,1,9,30,D,#,1,50,804,16,0,3
1,246740623,1,1,0,1,L,0,40,99,68,Q,#,1,50,11800,67,500,3
1,242244111,2,0,0,1,a,0,22,99,15,C,#,1,20,120,50,0,2
1,246327532,2,0,0,1,L,0,35,99,29,N,#,1,90,720,29,500,4
1,245625339,2,0,0,1,L,0,4,99,35,H,12,1,90,480,34,500,4
1,985095937,2,0,0,1,L,0,**,99,35,K,12,1,50,1,66,0,2
1,245525971,1,1,0,1,a,2,33,7,44,N,11,1,30,700,41,0,2
28,249623406,1,0,0,1,a,0,13,99,51,T,#,1,10,7528,51,0,2
1,313197830,1,0,0,1,L,0,11,99,40,T,#,1,110,980,22,0,2
1,515056381,1,1,0,1,a,0,22,99,29,C,#,1,90,700,58,0,4
1,984831081,1,1,0,1,L,0,15,99,57,T,12,1,100,5000,55,0,3
1,257431752,1,0,0,1,a,0,43,99,24,Q,12,1,30,324,24,0,3
1,946404970,2,1,0,1,L,1,29,5,58,K,#,1,10,2678,52,0,2
1,940164316,2,0,0,1,L,0,**,99,31,K,#,1,100,1440,24,0,4
1,205099598,2,1,0,1,L,0,4,99,30,H,11,1,80,324,21,0,2
1,201344508,1,0,0,1,a,0,15,99,72,H,#,1,100,1944,53,0,2
1,991218231,1,0,0,1,L,0,**,99,55,K,12,1,100,4504,54,0,4
1,313806420,2,0,1,1,L,0,6,99,34,T,#,1,3,1680,18,0,3
1,242810691,1,0,0,1,L,0,20,99,16,T,#,1,20,960,52,500,4
1,984586153,2,0,0,1,L,0,40,99,23,Q,12,1,70,5557,18,0,2
17,982519943,1,1,0,1,L,0,14,99,21,T,11,1,90,2149,18,0,4
1,940639105,1,1,0,1,a,0,**,99,52,K,12,1,70,51,42,0,2
1,942082227,1,0,0,1,a,1,**,8,28,Q,#,1,50,7408,20,0,2
1,940420497,2,0,0,1,L,0,1,99,20,D,#,1,100,324,32,0,3
10,327269046,1,0,0,1,L,0,14,99,56,T,#,1,110,24810,45,0,4
1,248807972,2,0,0,1,L,0,28,99,41,K,#,1,90,960,39,500,4
8,978900158,2,1,0,1,a,0,12,99,28,T,#,1,50,2029,23,0,2
1,940634259,2,1,0,1,L,0,14,99,999,T,#,1,3,1540,23,0,4
1,243231988,1,0,1,1,L,9,23,3,22,T,#,1,0,1,20,0,2
1,328671998,2,1,0,1,L,0,28,99,41,T,#,1,90,26800,34,0,4
1,241003403,2,0,0,#,#,0,14,99,27,T,12,1,80,840,27,500,4
1,600198483,2,1,0,1,L,0,27,99,45,K,#,1,100,15660,21,0,2
1,945715749,1,0,0,1,a,0,**,99,21,T,#,1,100,1007,43,0,4
1,250481601,2,1,0,1,a,0,12,99,22,T,11,1,50,800,20,0,2
1,977904233,1,0,0,1,a,0,42,99,24,Q,#,1,100,840,19,0,4
1,703629631,1,0,1,1,a,3,17,3,26,R,#,1,0,2290,15,0,2
1,254034338,1,0,0,1,L,0,22,99,50,C,11,1,30,1,50,500,4
1,258339529,2,0,0,1,L,0,**,99,45,Q,#,1,30,120,45,500,4
1,959546805,2,0,0,1,L,0,12,99,46,H,11,1,100,216,39,0,4
2,103379856,1,0,0,1,L,0,1,99,49,D,#,1,100,395,61,0,2
1,900848579,2,0,0,1,L,0,40,99,57,Q,#,1,70,41430,38,0,2
1,944488040,1,0,0,1,L,0,28,99,32,T,11,1,100,324,26,0,4
99,952277311,1,0,0,1,L,0,34,99,49,N,#,1,100,324,42,0,4
8,984572938,2,1,1,1,a,3,29,10,26,K,#,1,3,1400,21,0,2
1,967276585,1,0,0,1,L,0,**,99,14,T,11,1,20,2000,38,0,4
1,251113381,2,0,0,1,L,0,42,99,16,Q,#,1,20,120,69,500,2
1,256977538,2,0,0,1,a,0,**,99,46,K,#,1,30,5280,45,0,4
2,945319130,1,0,0,1,L,0,1,99,9,D,#,1,2,600,43,0,2
1,977403159,2,0,0,1,L,0,8,99,24,T,12,1,100,500,22,0,2
1,972777173,1,1,0,1,L,0,**,99,33,Q,11,1,60,700,30,0,2
1,952723555,2,0,0,1,L,0,23,99,30,T,#,1,70,2271,24,0,2
1,258902086,2,1,0,1,a,0,11,99,26,T,16,1,30,1080,26,0,4
1,241962713,2,0,0,1,L,0,23,99,44,T,12,1,60,960,43,0,4
1,241385324,1,0,0,1,L,0,**,99,38,K,#,1,90,324,36,500,4
28,258887930,1,0,0,#,9,0,27,99,28,K,11,1,20,1007,28,500,2
17,949509242,1,0,0,1,a,5,13,8,23,T,11,1,50,30360,15,0,4
1,952907635,2,1,0,1,L,0,**,99,27,R,#,1,70,4340,22,0,2
1,947189640,1,0,0,1,L,3,**,7,29,T,11,1,30,1110,23,0,2
8,906199551,#,0,0,1,0,0,44,99,0,Q,#,1,50,324,35,0,2
2,103228010,#,0,0,1,0,1,1,10,0,D,#,1,20,160,28,0,2
99,955341942,1,0,0,1,L,0,35,99,51,N,#,1,3,1960,45,0,4
1,244540046,1,0,0,1,L,0,1,99,20,D,12,1,50,960,55,0,2
1,941625540,2,1,0,1,L,0,13,99,20,R,#,1,90,1110,43,0,3
1,700513841,1,0,0,1,L,0,16,99,44,R,#,1,90,120,27,0,2
1,244940284,2,1,0,1,L,0,**,99,23,K,12,1,50,3974,22,0,2
1,515254014,1,1,1,1,L,9,23,3,37,C,#,1,3,2160,26,0,2
1,995969498,2,1,0,1,L,0,40,99,49,Q,#,1,60,1180,49,0,4
8,970576210,2,2,0,1,a,0,4,99,21,H,#,1,70,1544,15,0,4
98,403537381,1,1,0,1,L,0,28,99,40,S,#,1,50,780,28,0,2
1,987532862,1,0,0,1,L,4,**,4,57,Q,#,1,5,1007,56,0,2
17,942267206,1,1,0,1,L,0,14,99,25,T,#,1,60,3360,19,0,2
10,979080393,1,0,0,1,L,7,12,3,23,T,12,1,0,2610,21,0,2
1,500042002,2,1,0,1,a,0,24,99,49,C,#,1,130,11962,24,0,4
10,952960002,1,0,1,1,L,10,5,3,26,T,#,1,0,4100,20,0,2
1,995260801,1,1,0,1,L,0,23,99,42,C,16,1,70,1980,42,500,3
1,307659814,2,1,0,1,L,0,11,99,30,T,12,1,70,2560,20,0,2
1,987774121,2,1,0,1,L,0,**,99,52,K,11,1,90,360,50,0,4
27,984872308,1,0,0,1,L,0,**,99,53,T,#,1,100,324,51,0,3
1,948670785,1,1,0,1,L,0,11,99,29,T,11,1,110,1007,23,0,4
1,993153819,2,1,0,1,a,0,27,99,35,K,#,1,50,1110,33,0,2
1,403203749,2,1,0,1,L,0,38,99,33,S,#,1,130,2216,19,0,4
1,251312542,2,0,0,1,L,0,**,99,56,K,12,1,90,480,55,500,4
17,953473591,2,2,0,1,L,0,**,99,24,Q,11,1,50,6674,18,0,2
1,945830926,1,1,0,1,a,0,28,99,36,K,#,1,90,999,28,0,4
1,245165123,1,0,0,1,L,0,27,99,34,K,11,1,80,3900,32,0,4
1,951330190,1,0,0,1,L,0,11,99,43,T,#,1,100,324,35,0,4
1,257919257,1,0,0,1,a,0,**,99,50,T,11,1,30,1,50,0,4
1,605145611,1,1,0,1,L,0,27,99,31,K,#,1,80,500,15,0,4
1,941611012,2,0,0,1,L,0,13,99,41,T,11,1,100,648,34,0,4
1,503032639,2,0,0,1,L,0,21,99,64,C,#,1,50,1100,24,0,4
1,943233390,2,1,0,1,L,0,15,99,37,T,12,1,90,960,30,0,2
8,315936031,1,0,0,1,L,0,13,99,71,T,#,1,100,100,56,0,2
1,614182113,2,1,0,1,L,0,26,99,41,K,#,1,80,1137,25,0,2
1,985405435,1,1,0,1,L,0,28,99,36,K,11,1,100,26840,34,0,4
1,242112745,1,0,0,1,L,0,**,99,48,K,12,1,90,404,47,0,4
1,970859103,1,1,0,1,L,0,**,99,23,T,12,1,50,1007,19,0,2
1,980691041,2,0,0,1,L,0,**,99,57,T,11,1,50,324,54,500,2
10,961255030,2,0,0,1,L,0,27,99,18,K,11,1,130,2440,36,0,4
